TYPE	ACCESSION	ALIAS
SAMPLE	ERS10595925	A1069
SAMPLE	ERS10595926	A1070
SAMPLE	ERS10595927	A1071
SAMPLE	ERS10595928	A1072
SAMPLE	ERS10595929	A1073
SAMPLE	ERS10595930	A1074
SAMPLE	ERS10595931	A1075
SAMPLE	ERS10595932	A1076
SAMPLE	ERS10595933	A2000
SAMPLE	ERS10595934	A2001
SAMPLE	ERS10595935	A2002
SAMPLE	ERS10595936	A2003
SAMPLE	ERS10595937	A2004
SAMPLE	ERS10595938	A2005
SAMPLE	ERS10595939	A2006
SAMPLE	ERS10595940	A2007
SAMPLE	ERS10595941	A2008
SAMPLE	ERS10595942	A2009
SAMPLE	ERS10595943	A2010
SAMPLE	ERS10595944	A2011
SAMPLE	ERS10595945	A2012
SAMPLE	ERS10595946	A2013
SAMPLE	ERS10595947	B2014
SAMPLE	ERS10595948	B2015
SAMPLE	ERS10595949	B2016
SAMPLE	ERS10595950	B2017
SAMPLE	ERS10595951	B2018
SAMPLE	ERS10595952	B2019
SAMPLE	ERS10595953	B2020
SAMPLE	ERS10595954	B2021
SAMPLE	ERS10595955	B2022
SAMPLE	ERS10595956	B2023
SAMPLE	ERS10595957	B2024
SAMPLE	ERS10595958	B2025
SAMPLE	ERS10595959	A1008
SAMPLE	ERS10595960	A1009
SAMPLE	ERS10595961	A1010
SAMPLE	ERS10595962	A1011
SAMPLE	ERS10595963	A1012
SAMPLE	ERS10595964	A1013
SAMPLE	ERS10595965	A1042
SAMPLE	ERS10595966	A1043
SAMPLE	ERS10595967	A1044
SAMPLE	ERS10595968	A1045
SAMPLE	ERS10595969	A1046
SAMPLE	ERS10595970	A1047
SAMPLE	ERS10595971	A2058
SAMPLE	ERS10595972	A2059
SAMPLE	ERS10595973	A2060
SAMPLE	ERS10595974	A2061
SAMPLE	ERS10595975	A2062
SAMPLE	ERS10595976	A2063
SAMPLE	ERS10595977	A2064
SAMPLE	ERS10595978	A2065
SAMPLE	ERS10595979	A2066
SAMPLE	ERS10595980	A2067
SAMPLE	ERS10595981	A2068
SAMPLE	ERS10595982	A2069
SAMPLE	ERS10595983	A2070
SAMPLE	ERS10595984	A2071
SAMPLE	ERS10595985	A2072
SAMPLE	ERS10595986	A2073
SAMPLE	ERS10595987	A2074
SAMPLE	ERS10595988	A2075
SAMPLE	ERS10595989	A2076
SAMPLE	ERS10595990	B2069
SAMPLE	ERS10595991	B2070
SAMPLE	ERS10595992	B2071
SAMPLE	ERS10595993	B2072
SAMPLE	ERS10595994	B2073
SAMPLE	ERS10595995	B2074
SAMPLE	ERS10595996	B2075
SAMPLE	ERS10595997	B2076
SAMPLE	ERS10595998	A1000
SAMPLE	ERS10595999	A1001
SAMPLE	ERS10596000	A1002
SAMPLE	ERS10596001	A1003
SAMPLE	ERS10596002	A1004
SAMPLE	ERS10596003	A1005
SAMPLE	ERS10596004	A1006
SAMPLE	ERS10596005	A1007
SAMPLE	ERS10596006	A1014
SAMPLE	ERS10596007	A1015
SAMPLE	ERS10596008	A1016
SAMPLE	ERS10596009	A1017
SAMPLE	ERS10596010	A1018
SAMPLE	ERS10596011	A1019
SAMPLE	ERS10596012	A1020
SAMPLE	ERS10596013	A1021
SAMPLE	ERS10596014	A1022
SAMPLE	ERS10596015	A1023
SAMPLE	ERS10596016	A1024
SAMPLE	ERS10596017	A1025
SAMPLE	ERS10596018	A1026
SAMPLE	ERS10596019	A1027
SAMPLE	ERS10596020	A1028
SAMPLE	ERS10596021	A1029
SAMPLE	ERS10596022	A1030
SAMPLE	ERS10596023	A1031
SAMPLE	ERS10596024	A1032
SAMPLE	ERS10596025	A1033
SAMPLE	ERS10596026	A1034
SAMPLE	ERS10596027	A1035
SAMPLE	ERS10596028	A1036
SAMPLE	ERS10596029	A1037
SAMPLE	ERS10596030	A1038
SAMPLE	ERS10596031	A1039
SAMPLE	ERS10596032	A1040
SAMPLE	ERS10596033	A1041
SAMPLE	ERS10596034	A2014
SAMPLE	ERS10596035	A2015
SAMPLE	ERS10596036	A2016
SAMPLE	ERS10596037	A2017
SAMPLE	ERS10596038	A2018
SAMPLE	ERS10596039	A2019
SAMPLE	ERS10596040	A2020
SAMPLE	ERS10596041	A2021
SAMPLE	ERS10596042	A2022
SAMPLE	ERS10596043	A2023
SAMPLE	ERS10596044	A2024
SAMPLE	ERS10596045	A2025
SAMPLE	ERS10596046	A2026
SAMPLE	ERS10596047	A2027
SAMPLE	ERS10596048	A2028
SAMPLE	ERS10596049	A2029
SAMPLE	ERS10596050	A2030
SAMPLE	ERS10596051	A2031
SAMPLE	ERS10596052	A2032
SAMPLE	ERS10596053	A2033
SAMPLE	ERS10596054	A2034
SAMPLE	ERS10596055	A2035
SAMPLE	ERS10596056	A2036
SAMPLE	ERS10596057	A2037
SAMPLE	ERS10596058	A2038
SAMPLE	ERS10596059	A2039
SAMPLE	ERS10596060	A2040
SAMPLE	ERS10596061	A2041
SAMPLE	ERS10596062	A2042
SAMPLE	ERS10596063	A2043
SAMPLE	ERS10596064	A2044
SAMPLE	ERS10596065	A2045
SAMPLE	ERS10596066	A2046
SAMPLE	ERS10596067	A2047
SAMPLE	ERS10596068	A2048
SAMPLE	ERS10596069	A2049
SAMPLE	ERS10596070	A2050
SAMPLE	ERS10596071	A2051
SAMPLE	ERS10596072	A2052
SAMPLE	ERS10596073	A2053
SAMPLE	ERS10596074	A2054
SAMPLE	ERS10596075	A2055
SAMPLE	ERS10596076	A2056
SAMPLE	ERS10596077	A2057
SUBMISSION	ERA9073182	ena-SUBMISSION-TAB-15-02-2022-14:28:09:387-116842
