feature1	feature2	r	p	p_adj
Methanosphaera	VFA_d	0.428249599409402	0.005836829178448865	0.03536722764907575
uncl(F082)	Propionate_d	0.42768004929905334	0.005909780480456536	0.03550834490358339
Erysipelotrichaceae_uncl	VFA_d	0.4260649296292019	0.006120958601724006	0.03589002829606604
Bifidobacterium	Tot_gas	-0.42600396664380497	0.0061290556445406505	0.03589002829606604
Ruminobacter	IsoValerate_d	-0.42590951649821357	0.0061416186965561614	0.03589002829606604
Candidatus_Methanomethylophilus	IsoValerate_d	-0.42506464419305956	0.006254990562327573	0.03589002829606604
Methanosphaera	NH3N_d	0.42498944684425455	0.006265168199737683	0.03589002829606604
Limosilactobacillus	Acetate_Propionate	0.4249207356179826	0.006274480471340216	0.03589002829606604
Candidatus_Methanomethylophilus	Propionate_d	0.424489807597393	0.006333156179927377	0.03593814816387361
Methanobacteriaceae_uncl	Tot_gas	0.4240931066662458	0.006387589747291196	0.03596162731742681
Christensenellaceae_uncl(R-7)	VFA_d	0.42238589337924154	0.0066264811856024805	0.03701510974770136
uncl(NK4A214)	VFA_d	0.42118596544934755	0.0067989652688450475	0.037684187342823326
Methanobacteriaceae_uncl	Valerate_d	-0.4200544716431457	0.006965144768527566	0.03830829622690161
Rikenellaceae_uncl(RC9_gut)	Butyrate_d	-0.41966506021442634	0.007023140540328351	0.03833240829263184
Syntrophococcus	NH3N_d	0.4180120308389799	0.007273985318088708	0.03894272424020523
Megasphaera	NH3N_d	-0.4176914656939862	0.007323513383139954	0.03894272424020523
Monoglobus	ph	-0.41766304996542886	0.007327917654003425	0.03894272424020523
Rhodospirillales_uncl	Valerate_d	-0.4173276944186439	0.00738006828481421	0.03894272424020523
Ruminobacter	Butyrate_d	-0.41675658338307225	0.007469616272929566	0.03894272424020523
Muribaculaceae	Acetate_Propionate	0.41640876371088864	0.007524609877344883	0.03894272424020523
Muribaculaceae	IsoButyrate_d	0.4163232817005451	0.007538178599786188	0.03894272424020523
Selenomonas	NH3N_d	-0.4161190405118698	0.007570683453690248	0.03894272424020523
uncl(NK4A214)	CH4_p	0.40815465863000444	0.008935825703195904	0.04563653841275051
Candidatus_Saccharimonas	Acetate_Propionate	0.40766897246170947	0.009025495267162491	0.045767582383128946
Rikenellaceae_uncl(RC9_gut)	Propionate_d	0.4064743250468405	0.00924934309089439	0.04637872770927138
Eubacterium_nodatum	Acetate_d	0.4063350557548391	0.009275745541854277	0.04637872770927138
Limosilactobacillus	CH4_ml	0.40441005100458977	0.009647348155401428	0.04790176341050014
uncl(NK4A214)	Valerate_d	-0.4028723491778721	0.009953265968022212	0.049079897704385395
Izemoplasmatales	ph	0.40163315129109617	0.010205795550044888	0.049980437111521205
Methanobacteriaceae_uncl	Acetate_d	0.40098545460504675	0.01033995020093933	0.05029295505899062
Erysipelotrichaceae_uncl	Acetate_Propionate	0.3999441577754891	0.010558785826020482	0.05088832801758137
Succiniclasticum	Acetate_d	0.3992211709421476	0.010713040944994819	0.05088832801758137
Prevotellaceae_uncl(UCG-001)	NH3N_d	-0.3990145752781433	0.01075747142495256	0.05088832801758137
Treponema	Acetate_Propionate	-0.3987977890231575	0.010804262415997717	0.05088832801758137
Candidatus_Saccharimonas	Butyrate_d	-0.39873328685683085	0.010818217984157158	0.05088832801758137
Methanimicrococcus	Acetate_Propionate	-0.39748224495003676	0.01109194797071078	0.05180546665126756
Limosilactobacillus	IsoValerate_d	0.39718385812297596	0.011158100509503784	0.05180546665126756
Rikenellaceae_uncl(RC9_gut)	Valerate_d	-0.3963770104825893	0.011338665413942565	0.052142934796319526
Muribaculaceae	CH4_p	0.39620871568726523	0.011376640319196987	0.052142934796319526
Acetitomaculum	NH3N_d	0.3955791408938769	0.011519663057931728	0.0524621597861222
uncl(F082)	NH3N_d	0.39406882590676523	0.01186902201133158	0.053711080620899236
uncl(Family_XIII_AD3011)	Tot_gas	0.3910839981229469	0.012586027172672888	0.05659754357522714
Methanobacteriaceae_uncl	CH4_ml	0.39067999479877136	0.01268584579271875	0.05668987338621191
Olsenella	Butyrate_d	0.38753579367079893	0.013485924325948646	0.05989090616803281
Candidatus_Saccharimonas	Tot_gas	0.3860554629339495	0.013877180156039441	0.061212193653230246
Clostridia_uncl(UCG-014)	Valerate_d	-0.3851967006459692	0.014108530154248221	0.061212193653230246
uncl(Family_XIII_AD3011)	IsoButyrate_d	0.38518869241791603	0.014110702841516857	0.061212193653230246
Acetitomaculum	Acetate_Propionate	0.3851327406649434	0.014125890843053135	0.061212193653230246
Succinivibrio	Acetate_d	0.383954965097826	0.014448823270526797	0.06223438938811241
Prevotella_7	NH3N_d	-0.38071330697772277	0.01537007909092637	0.065539218012563
Muribaculaceae	Tot_gas	0.38061277531844895	0.015399424651902915	0.065539218012563
Succinivibrio	Valerate_d	-0.37921814787479113	0.015811428343560665	0.06689450453044897
Syntrophococcus	VFA_d	0.37881204841887955	0.015933133536029164	0.06701288516624031
Succinivibrio	IsoValerate_d	-0.3784266682684605	0.01604935932720092	0.06710697028624946
Prevotella_7	Butyrate_d	0.3776975058846845	0.016271222812362252	0.06763909483045936
Coprococcus	IsoButyrate_d	0.3755443679125445	0.01694151103503895	0.0699356107623099
Methanobrevibacter	NH3N_d	0.37529917475616914	0.01701929548621248	0.0699356107623099
Bifidobacterium	IsoValerate_d	0.37488422635105245	0.01715161772706476	0.07007660957057887
Clostridia_uncl(UCG-014)	VFA_d	0.3735397611429683	0.017586316312284418	0.07144441001865544
Prevotellaceae_uncl(UCG-003)	NH3N_d	0.3728591201065916	0.017809894058850976	0.07194392232812682
Methanomicrobium	IsoValerate_d	-0.3722131877706451	0.018024276115155315	0.07240088439514634
Methanosphaera	Butyrate_d	-0.3716378470376231	0.01821705147563175	0.07276643466523297
Methanomethylophilaceae_uncl	Acetate_Propionate	-0.3692920148117363	0.01902108034311038	0.07555595802957733
Methanobrevibacter	Acetate_Propionate	0.3681644056062042	0.01941803653396764	0.07588998777346569
Bacteroidales_uncl	Acetate_d	0.3680901001664116	0.019444436644785252	0.07588998777346569
Limosilactobacillus	Tot_gas	0.36800376335034823	0.01947514919352229	0.07588998777346569
Acetitomaculum	Acetate_d	0.36785060801528285	0.019529731119325433	0.07588998777346569
Clostridia_uncl(vadinBB60)	Tot_gas	-0.36698884009316174	0.019839246671356343	0.07667600740551235
Prevotellaceae_uncl(UCG-001)	Valerate_d	-0.3655606625986074	0.02036124207694026	0.07827036604845317
Olsenella	IsoValerate_d	0.3646992731158791	0.020681600257075255	0.07889449127357953
Christensenellaceae_uncl(R-7)	Tot_gas	0.36453202973383547	0.02074428581738874	0.07889449127357953
Prevotella	Propionate_d	0.36331223143614183	0.02120631053254394	0.0802249313797297
Succiniclasticum	CH4_ml	0.3627363616847792	0.021427404377321956	0.08041443371025023
Methanobacteriaceae_uncl	NH3N_d	0.3624501326710162	0.021538010956894633	0.08041443371025023
Eubacterium_nodatum	Valerate_d	-0.3622664682242015	0.02160923475653507	0.08041443371025023
Rhodospirillales_uncl	Propionate_d	0.36182791291210215	0.02178009960408007	0.08041443371025023
Streptococcus	Valerate_d	0.36172913023985437	0.021818741454249713	0.08041443371025023
Coprococcus	Acetate_Propionate	0.3612745332753696	0.021997309645068613	0.08065680203191826
Ruminobacter	IsoButyrate_d	-0.36052765470003706	0.022293335859793408	0.08132517928445043
Clostridia_uncl(vadinBB60)	Acetate_Propionate	-0.3572809416969948	0.023619086684856835	0.08572409634351592
Limosilactobacillus	IsoButyrate_d	0.35523550564022005	0.02448754028228629	0.08809266050230559
Succiniclasticum	Valerate_d	-0.35511127538533	0.024541130201629142	0.08809266050230559
Sphaerochaeta	IsoValerate_d	-0.3548796605012346	0.024641303637008557	0.08809266050230559
Izemoplasmatales	CH4_p	0.3535704372053892	0.025213955062329173	0.08969143218689234
Methanimicrococcus	CH4_p	0.3525382517464562	0.025673185332018827	0.09087290847719534
Methanobacteriaceae_uncl	Propionate_d	0.35205781633397987	0.02588929193178929	0.09118642232132682
Fibrobacter	ph	0.35138157512637275	0.026196030479585717	0.09181451859266564
Shuttleworthia	CH4_ml	0.349401558554318	0.027111532782652104	0.09427042050868437
Methanosphaera	Tot_gas	0.3490446769468744	0.02727933030396172	0.09427042050868437
uncl(F082)	Butyrate_d	-0.34901721976250083	0.0272922755878289	0.09427042050868437
Acetitomaculum	VFA_d	0.34826874354884113	0.027647125103657827	0.09503699254382378
Megasphaera	VFA_d	-0.34728325874014626	0.028120154855846843	0.09620052977000235
Methanomicrobium	NH3N_d	-0.346863153263016	0.028323829145500898	0.09643589447158639
Lachnospiraceae_uncl(NK3A20)	CH4_p	0.34523697946510584	0.029123758974559256	0.09868532022083312
Methanobrevibacter	CH4_p	-0.3448437783253198	0.029319953750777988	0.09868532022083312
Methanomicrobium	IsoButyrate_d	-0.34455670485880346	0.029463882348508122	0.09868532022083312
Treponema	Propionate_d	-0.3443584425027481	0.029563624255438313	0.09868532022083312
Treponema	VFA_d	-0.34413848443248735	0.02967460677969108	0.09868532022083312
Treponema	IsoButyrate_d	-0.3432336675938492	0.030134765482944508	0.09971858188256383
Ruminobacter	Acetate_Propionate	-0.3429811333493225	0.0302642409349879	0.09971858188256383
uncl(F082)	VFA_d	0.34226204776709757	0.030635434166351047	0.10006995007320472
Clostridia_uncl(UCG-014)	Propionate_d	0.34223244368500577	0.03065079589654802	0.10006995007320472
Methanomethylophilaceae_uncl	Propionate_d	0.3416373539925084	0.030960940236673656	0.10032367809288355
Prevotellaceae_uncl(UCG-001)	Propionate_d	0.34151262682665867	0.031026271188340584	0.10032367809288355
Candidatus_Methanomethylophilus	CH4_p	-0.3412780467399152	0.03114944970156664	0.10032367809288355
Selenomonas	IsoButyrate_d	-0.33951780204781923	0.032086665512236816	0.10287877058856199
Candidatus_Methanomethylophilus	Acetate_d	0.3387127100356799	0.03252298886442864	0.10381221891993964
Limosilactobacillus	CH4_p	0.3365862946538564	0.033698909201068036	0.1070876447945051
Rikenellaceae_uncl(RC9_gut)	IsoValerate_d	-0.33569592924787567	0.03420154223555025	0.10820399424078951
Fibrobacter	CH4_ml	0.3347724073205068	0.034729372810148526	0.10893277580276595
Candidatus_Saccharimonas	IsoButyrate_d	0.3347598328679525	0.03473660543081208	0.10893277580276595
Lactobacillus	Butyrate_d	0.33308313150928576	0.035712133855279105	0.11150295068351336
Rhodospirillales_uncl	Acetate_d	0.33140980858394953	0.036707940964899544	0.11411381647783989
Muribaculaceae	Propionate_d	0.3294233599002503	0.03791944138519102	0.11736969952559126
Pseudobutyrivibrio	CH4_p	0.3249800557335125	0.04074769246917287	0.12534987731720096
Methanosphaera	Acetate_Propionate	0.32477685449734034	0.04088102788591281	0.12534987731720096
Candidatus_Methanomethylophilus	CH4_ml	-0.3245601778247972	0.04102359621290213	0.12534987731720096
Prevotellaceae_uncl(UCG-001)	Tot_gas	-0.3228863714550165	0.0421385988898674	0.12820892853725616
Lactobacillus	Propionate_d	-0.3215726808998377	0.04303084094497876	0.13036886133754158
Erysipelotrichaceae_uncl	Valerate_d	-0.3207397057643963	0.04360448295056619	0.13138761780365266
Lactobacillus	Valerate_d	0.32055197400802266	0.043734619632544526	0.13138761780365266
Monoglobus	Tot_gas	-0.3200056317757143	0.044115138981537065	0.1316844984389792
Methanobacteriaceae_uncl	Butyrate_d	-0.31988175437782224	0.044201789685811205	0.1316844984389792
Acinetobacter	IsoButyrate_d	-0.31867993595978344	0.045049623922542394	0.13365344856687889
Prevotella_7	ph	-0.3181200873493099	0.04544904239201778	0.13381619840877532
Sphaerochaeta	IsoButyrate_d	-0.31807854814147213	0.0454787919067586	0.13381619840877532
Bacteroidales_uncl	Propionate_d	0.3152658504574349	0.047530122364556615	0.13927884217482778
Methanomethylophilaceae_uncl	NH3N_d	-0.31495474630700265	0.0477615267842265	0.13938568020702835
Christensenellaceae_uncl(R-7)	CH4_ml	0.31348816250727013	0.04886466556405167	0.14202534909876807
Prevotella	IsoButyrate_d	-0.3131818211470309	0.04909766163025941	0.14212480998232987
uncl(Family_XIII_AD3011)	Valerate_d	-0.31136461334516125	0.05049824707491564	0.14558970426840598
Fibrobacter	NH3N_d	-0.3108044737022999	0.05093638532351581	0.14626311448318796
Pseudoscardovia	Acetate_Propionate	0.30877698744818455	0.052547881347944796	0.15028694065512213
Ruminobacter	Propionate_d	0.30673235655081293	0.05421417386946841	0.15326575493880726
Pseudoscardovia	IsoValerate_d	0.3065947720703473	0.05432780176302969	0.15326575493880726
Bacteroidales_uncl	CH4_ml	0.30658407279523997	0.054336646036213854	0.15326575493880726
Izemoplasmatales	CH4_ml	0.30645086463596055	0.05444685560063922	0.15326575493880726
Fibrobacter	Valerate_d	0.30606019584056254	0.054771107225424005	0.15357388888697318
Erysipelotrichaceae_uncl	Propionate_d	0.3055268891187253	0.05521623996924896	0.1542172327266133
Prevotellaceae_uncl(UCG-001)	Acetate_Propionate	-0.30446876672758105	0.05610798357989795	0.15609808661333477
Limosilactobacillus	VFA_d	0.30313834329372047	0.05724550429738553	0.15864548671562267
Eubacterium_nodatum	Butyrate_d	-0.3026606008122273	0.05765844054200575	0.15917291500978423
Succiniclasticum	VFA_d	0.302369223884254	0.05791145634858228	0.15925650495860127
Candidatus_Methanomethylophilus	Tot_gas	-0.3018531633600383	0.05836174767151658	0.1598798834679477
Succinivibrio	CH4_ml	0.3010697247350829	0.059050671837602035	0.16057296917260633
Acetitomaculum	ph	-0.3010547494197986	0.05906390334600764	0.16057296917260633
Sphaerochaeta	Butyrate_d	-0.30025803457862305	0.05977125664984257	0.16162001709765078
Syntrophococcus	IsoValerate_d	-0.2999249372704755	0.06006898468593667	0.16162001709765078
Rhodospirillales_uncl	Butyrate_d	-0.2995871658899013	0.06037209439959248	0.16162001709765078
Christensenellaceae_uncl(R-7)	Butyrate_d	-0.29947929179621036	0.06046915452559124	0.16162001709765078
Streptococcus	NH3N_d	-0.29935709532054583	0.06057925116387469	0.16162001709765078
Pseudobutyrivibrio	ph	0.29900493980175613	0.06089742840438399	0.16174147402918723
Coprococcus	CH4_ml	0.29880661669385983	0.061077199983049724	0.16174147402918723
Prevotellaceae_uncl(YAB2003)	IsoButyrate_d	-0.2973998766293622	0.06236449051997397	0.16454099897336305
Catenisphaera	Acetate_d	0.2969549104756027	0.06277612711480984	0.16492906133705187
Bacteroidales_uncl	CH4_p	0.29674300732119385	0.06297291432869254	0.16492906133705187
Sphaerochaeta	Tot_gas	-0.2959226792324282	0.06373934373416527	0.166327119598278
Pseudoscardovia	IsoButyrate_d	0.29343076483449937	0.06611295733815985	0.17182739802643576
Succiniclasticum	CH4_p	0.293027407563592	0.06650365383193453	0.17182739802643576
Selenomonas	VFA_d	-0.29296105631068453	0.066568096857794	0.17182739802643576
uncl(NK4A214)	IsoButyrate_d	0.2913181193417536	0.06817958492215699	0.17535396841490017
Clostridia_uncl(vadinBB60)	NH3N_d	-0.28939467079152176	0.07010516092441992	0.17965788980193498
Rhodospirillales_uncl	IsoValerate_d	-0.28914764035397134	0.07035553726509342	0.17965788980193498
Acetitomaculum	Tot_gas	0.2879129141806895	0.07161755895734932	0.18222973186656502
Methanimicrococcus	CH4_ml	0.28740324506428266	0.0721436570995127	0.18291742846153042
Prevotella_7	IsoValerate_d	0.2868006627536956	0.07276957681115599	0.18385246438154254
Treponema	Tot_gas	-0.28355618889463347	0.07621334313877354	0.1918751420571235
Succinivibrio	CH4_p	0.2826913229389328	0.07715253442113156	0.1935581126705581
Methanomethylophilaceae_uncl	Valerate_d	-0.28224145643408616	0.07764462750863416	0.1941115687715854
Acinetobacter	Butyrate_d	-0.28119398780075644	0.07879992344138094	0.1963133981205135
Prevotella	Acetate_d	0.2806342702816395	0.07942273720781924	0.19717797605413456
Acinetobacter	ph	0.2799095957223071	0.08023480195240729	0.19849186411745026
Ruminobacter	NH3N_d	-0.279667802143882	0.08050718964204276	0.19849186411745026
Rhodospirillales_uncl	NH3N_d	0.2784608361402449	0.08187766815387135	0.20109169479883224
Pseudoramibacter	ph	0.2782454248755221	0.08212416067308953	0.20109169479883224
Streptococcus	Acetate_Propionate	-0.2769480087239875	0.08362101466807052	0.20405810746645195
Acetitomaculum	IsoButyrate_d	0.27664822176262166	0.08396988169507356	0.20421246738767893
Erysipelotrichaceae_uncl	Tot_gas	0.2762972742659971	0.08437972064715467	0.2045135602125952
Olsenella	Propionate_d	-0.2758717819619666	0.08487869515757498	0.20502792918130444
Methanimicrococcus	IsoValerate_d	-0.27542837148022015	0.08540111636201272	0.20559528013077136
Pseudobutyrivibrio	CH4_ml	0.27480056311590806	0.08614505562315024	0.20669031802198798
uncl(Family_XIII_AD3011)	CH4_ml	0.27259502580947914	0.08879845778136515	0.2121936206445119
