feature1	feature2	r	p	p_adjusted
Eubacterium_nodatum	Methanobrevibacter	0.4602	0.001	0.0018702770780856424
Methanobrevibacter	Succiniclasticum	-0.3162	0.001	0.0018702770780856424
Methanobrevibacter	Selenomonas	0.0966	0.3147	0.3608722007722007
Dialister	Methanobrevibacter	0.2461	0.006	0.00951923076923077
Megasphaera	Methanobrevibacter	0.0519	0.5524	0.5927124277456647
Methanobrevibacter	Negativicutes_uncl	-0.3681	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Methanobrevibacter	-0.1781	0.049	0.0669411223551058
Methanobrevibacter	Rhodospirillales_uncl	-0.4567	0.001	0.0018702770780856424
Comamonas	Methanobrevibacter	0.0801	0.3656	0.4122369020501139
Methanobrevibacter	Ruminobacter	-0.4516	0.001	0.0018702770780856424
Methanobrevibacter	Succinivibrio	-0.0271	0.7742	0.8039769230769231
Acinetobacter	Methanobrevibacter	-0.0099	0.9321	0.9384193220338983
Methanobrevibacter	Sphaerochaeta	-0.3842	0.001	0.0018702770780856424
Methanobrevibacter	Treponema	-0.1942	0.041	0.0569018691588785
Methanobrevibacter	uncl(WPS-2)	-0.1212	0.1968	0.23492604501607717
Methanobacteriaceae_uncl	Methanosphaera	0.6367	0.001	0.0018702770780856424
Methanomicrobium	Methanosphaera	0.4247	0.002	0.0034859154929577463
Methanimicrococcus	Methanosphaera	0.2986	0.002	0.0034859154929577463
Candidatus_Methanomethylophilus	Methanosphaera	0.411	0.001	0.0018702770780856424
Methanomethylophilaceae_uncl	Methanosphaera	0.3888	0.001	0.0018702770780856424
Bifidobacterium	Methanosphaera	-0.1335	0.1299	0.1618301174496644
Methanosphaera	Pseudoscardovia	0.3934	0.002	0.0034859154929577463
Methanosphaera	Olsenella	0.4212	0.001	0.0018702770780856424
Methanosphaera	uncl(F082)	-0.5412	0.001	0.0018702770780856424
Methanosphaera	Muribaculaceae	0.3904	0.001	0.0018702770780856424
Methanosphaera	Prevotella	-0.4642	0.001	0.0018702770780856424
Methanosphaera	Prevotella_7	0.284	0.004	0.006592674805771366
Methanosphaera	Prevotellaceae_uncl(UCG-001)	-0.2561	0.005	0.008114754098360656
Methanosphaera	Prevotellaceae_uncl(UCG-003)	-0.4257	0.001	0.0018702770780856424
Methanosphaera	Prevotellaceae_uncl(YAB2003)	0.224	0.014	0.02089447236180905
Methanosphaera	Rikenellaceae_uncl(RC9_gut)	-0.5206	0.001	0.0018702770780856424
Bacteroidales_uncl	Methanosphaera	-0.2425	0.007	0.0109536354056902
Fibrobacter	Methanosphaera	0.0863	0.3197	0.3654769053117783
Catenisphaera	Methanosphaera	0.3895	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Methanosphaera	-0.3627	0.001	0.0018702770780856424
Izemoplasmatales	Methanosphaera	-0.4601	0.001	0.0018702770780856424
Lactobacillus	Methanosphaera	0.1455	0.0929	0.11933953287197231
Limosilactobacillus	Methanosphaera	0.3549	0.001	0.0018702770780856424
Methanosphaera	Streptococcus	0.0617	0.4935	0.5416463414634146
Christensenellaceae_uncl(R-7)	Methanosphaera	-0.4133	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Methanosphaera	-0.3318	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Methanosphaera	-0.5059	0.001	0.0018702770780856424
Methanosphaera	Pseudoramibacter	0.3687	0.001	0.0018702770780856424
Acetitomaculum	Methanosphaera	0.3526	0.001	0.0018702770780856424
Coprococcus	Methanosphaera	0.2216	0.006	0.00951923076923077
Lachnospiraceae_uncl(NK3A20)	Methanosphaera	0.2783	0.005	0.008114754098360656
Methanosphaera	Pseudobutyrivibrio	0.2693	0.002	0.0034859154929577463
Methanosphaera	Shuttleworthia	0.3259	0.001	0.0018702770780856424
Methanosphaera	Syntrophococcus	0.4544	0.001	0.0018702770780856424
Methanosphaera	Monoglobus	-0.3863	0.001	0.0018702770780856424
Methanosphaera	uncl(NK4A214)	-0.3577	0.001	0.0018702770780856424
Methanosphaera	uncl(UCG-010)	-0.5187	0.001	0.0018702770780856424
Methanosphaera	uncl(Family_XIII_AD3011)	-0.2078	0.02	0.02914622178606477
Eubacterium_nodatum	Methanosphaera	0.4892	0.001	0.0018702770780856424
Methanosphaera	Succiniclasticum	-0.3977	0.001	0.0018702770780856424
Methanosphaera	Selenomonas	0.2136	0.017	0.02509443339960239
Dialister	Methanosphaera	0.3326	0.001	0.0018702770780856424
Megasphaera	Methanosphaera	-0.0236	0.7932	0.8208376306620209
Methanosphaera	Negativicutes_uncl	-0.4335	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Methanosphaera	-0.2414	0.004	0.006592674805771366
Methanosphaera	Rhodospirillales_uncl	-0.3851	0.001	0.0018702770780856424
Comamonas	Methanosphaera	-0.0446	0.5834	0.6232726618705037
Methanosphaera	Ruminobacter	-0.2207	0.013	0.019559270516717325
Methanosphaera	Succinivibrio	0.0948	0.2547	0.29618598277212216
Acinetobacter	Methanosphaera	-0.0562	0.4965	0.5441346863468635
Methanosphaera	Sphaerochaeta	-0.3897	0.001	0.0018702770780856424
Methanosphaera	Treponema	-0.0635	0.4595	0.508084512285927
Methanosphaera	uncl(WPS-2)	-0.2461	0.007	0.0109536354056902
Methanobacteriaceae_uncl	Methanomicrobium	0.5299	0.001	0.0018702770780856424
Methanimicrococcus	Methanobacteriaceae_uncl	0.4211	0.001	0.0018702770780856424
Candidatus_Methanomethylophilus	Methanobacteriaceae_uncl	0.3942	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Methanomethylophilaceae_uncl	0.4738	0.001	0.0018702770780856424
Bifidobacterium	Methanobacteriaceae_uncl	-0.1368	0.1229	0.15362499999999998
Methanobacteriaceae_uncl	Pseudoscardovia	0.2225	0.01	0.015277777777777779
Methanobacteriaceae_uncl	Olsenella	0.3369	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	uncl(F082)	-0.538	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Muribaculaceae	0.1114	0.2118	0.25021718377088303
Methanobacteriaceae_uncl	Prevotella	-0.4944	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Prevotella_7	0.1224	0.1658	0.20281136738056013
Methanobacteriaceae_uncl	Prevotellaceae_uncl(UCG-001)	-0.0422	0.6264	0.665381974248927
Methanobacteriaceae_uncl	Prevotellaceae_uncl(UCG-003)	-0.3437	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Prevotellaceae_uncl(YAB2003)	0.1353	0.1139	0.14382780612244897
Methanobacteriaceae_uncl	Rikenellaceae_uncl(RC9_gut)	-0.5763	0.001	0.0018702770780856424
Bacteroidales_uncl	Methanobacteriaceae_uncl	-0.2411	0.007	0.0109536354056902
Fibrobacter	Methanobacteriaceae_uncl	0.0279	0.7572	0.7885287517531556
Catenisphaera	Methanobacteriaceae_uncl	0.3913	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Methanobacteriaceae_uncl	-0.3039	0.001	0.0018702770780856424
Izemoplasmatales	Methanobacteriaceae_uncl	-0.4403	0.001	0.0018702770780856424
Lactobacillus	Methanobacteriaceae_uncl	-0.0025	0.975	0.9769736842105263
Limosilactobacillus	Methanobacteriaceae_uncl	0.1573	0.0709	0.09292718446601943
Methanobacteriaceae_uncl	Streptococcus	-0.0333	0.6613	0.6999504632929436
Christensenellaceae_uncl(R-7)	Methanobacteriaceae_uncl	-0.3687	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Methanobacteriaceae_uncl	-0.3197	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Methanobacteriaceae_uncl	-0.44	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Pseudoramibacter	0.3199	0.001	0.0018702770780856424
Acetitomaculum	Methanobacteriaceae_uncl	0.1697	0.049	0.0669411223551058
Coprococcus	Methanobacteriaceae_uncl	0.2538	0.005	0.008114754098360656
Lachnospiraceae_uncl(NK3A20)	Methanobacteriaceae_uncl	0.1815	0.048	0.06569585253456221
Methanobacteriaceae_uncl	Pseudobutyrivibrio	0.1895	0.023	0.03306389157792836
Methanobacteriaceae_uncl	Shuttleworthia	0.2847	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Syntrophococcus	0.3694	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Monoglobus	-0.2456	0.006	0.00951923076923077
Methanobacteriaceae_uncl	uncl(NK4A214)	-0.3028	0.002	0.0034859154929577463
Methanobacteriaceae_uncl	uncl(UCG-010)	-0.4626	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	uncl(Family_XIII_AD3011)	-0.1119	0.1898	0.2273008064516129
Eubacterium_nodatum	Methanobacteriaceae_uncl	0.3332	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Succiniclasticum	-0.2097	0.017	0.02509443339960239
Methanobacteriaceae_uncl	Selenomonas	0.0964	0.2797	0.3229817262830482
Dialister	Methanobacteriaceae_uncl	0.2626	0.011	0.016753846153846154
Megasphaera	Methanobacteriaceae_uncl	0.0089	0.9091	0.919001701837985
Methanobacteriaceae_uncl	Negativicutes_uncl	-0.3216	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Methanobacteriaceae_uncl	-0.1373	0.0939	0.12031190681622088
Methanobacteriaceae_uncl	Rhodospirillales_uncl	-0.3706	0.001	0.0018702770780856424
Comamonas	Methanobacteriaceae_uncl	-0.0196	0.8192	0.8424598337950139
Methanobacteriaceae_uncl	Ruminobacter	-0.2142	0.023	0.03306389157792836
Methanobacteriaceae_uncl	Succinivibrio	0.1211	0.1688	0.20597206244864422
Acinetobacter	Methanobacteriaceae_uncl	0.008	0.9301	0.9370410447761195
Methanobacteriaceae_uncl	Sphaerochaeta	-0.3459	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Treponema	-0.1335	0.1239	0.15474474348191758
Methanobacteriaceae_uncl	uncl(WPS-2)	-0.1532	0.0709	0.09292718446601943
Methanimicrococcus	Methanomicrobium	0.8108	0.001	0.0018702770780856424
Candidatus_Methanomethylophilus	Methanomicrobium	0.7504	0.001	0.0018702770780856424
Methanomethylophilaceae_uncl	Methanomicrobium	0.9009	0.001	0.0018702770780856424
Bifidobacterium	Methanomicrobium	-0.0235	0.8052	0.8309395413481585
Methanomicrobium	Pseudoscardovia	0.0883	0.3367	0.3837294704528012
Methanomicrobium	Olsenella	0.2586	0.006	0.00951923076923077
Methanomicrobium	uncl(F082)	-0.6819	0.001	0.0018702770780856424
Methanomicrobium	Muribaculaceae	-0.0647	0.5045	0.5508694852941176
Methanomicrobium	Prevotella	-0.6442	0.001	0.0018702770780856424
Methanomicrobium	Prevotella_7	0.0214	0.8172	0.840985446985447
Methanomicrobium	Prevotellaceae_uncl(UCG-001)	0.0775	0.4006	0.4486357466063349
Methanomicrobium	Prevotellaceae_uncl(UCG-003)	-0.2286	0.022	0.03171844660194175
Methanomicrobium	Prevotellaceae_uncl(YAB2003)	0.0643	0.5235	0.5670295404814004
Methanomicrobium	Rikenellaceae_uncl(RC9_gut)	-0.6724	0.001	0.0018702770780856424
Bacteroidales_uncl	Methanomicrobium	-0.0802	0.3936	0.4421301059001513
Fibrobacter	Methanomicrobium	0.3194	0.003	0.005097254004576658
Catenisphaera	Methanomicrobium	0.1457	0.1209	0.15137984822934233
Erysipelotrichaceae_uncl	Methanomicrobium	-0.2217	0.012	0.018183673469387755
Izemoplasmatales	Methanomicrobium	-0.2252	0.02	0.02914622178606477
Lactobacillus	Methanomicrobium	-0.0921	0.3536	0.3996164383561644
Limosilactobacillus	Methanomicrobium	0.1103	0.2807	0.3238846153846154
Methanomicrobium	Streptococcus	-0.1345	0.1568	0.1929146644573322
Christensenellaceae_uncl(R-7)	Methanomicrobium	-0.534	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Methanomicrobium	-0.1554	0.1009	0.12861502145922749
Clostridia_uncl(vadinBB60)	Methanomicrobium	-0.1307	0.1648	0.20225454545454546
Methanomicrobium	Pseudoramibacter	0.0172	0.8621	0.8786674673987646
Acetitomaculum	Methanomicrobium	-0.1301	0.1948	0.2329130434782609
Coprococcus	Methanomicrobium	-0.014	0.8821	0.8972044520547946
Lachnospiraceae_uncl(NK3A20)	Methanomicrobium	0.0998	0.3387	0.3851221286370597
Methanomicrobium	Pseudobutyrivibrio	0.2711	0.006	0.00951923076923077
Methanomicrobium	Shuttleworthia	0.2957	0.002	0.0034859154929577463
Methanomicrobium	Syntrophococcus	-0.011	0.9211	0.9298664174031271
Methanomicrobium	Monoglobus	-0.2457	0.008	0.012413793103448275
Methanomicrobium	uncl(NK4A214)	-0.3099	0.002	0.0034859154929577463
Methanomicrobium	uncl(UCG-010)	-0.288	0.006	0.00951923076923077
Methanomicrobium	uncl(Family_XIII_AD3011)	-0.3661	0.001	0.0018702770780856424
Eubacterium_nodatum	Methanomicrobium	0.0573	0.5115	0.556059663250366
Methanomicrobium	Succiniclasticum	-0.4177	0.001	0.0018702770780856424
Methanomicrobium	Selenomonas	0.2248	0.022	0.03171844660194175
Dialister	Methanomicrobium	-0.0038	0.979	0.9803202966958867
Megasphaera	Methanomicrobium	0.1001	0.2917	0.3352743808049536
Methanomicrobium	Negativicutes_uncl	-0.1206	0.1848	0.221670436187399
Candidatus_Saccharimonas	Methanomicrobium	-0.1827	0.0529	0.07174109589041096
Methanomicrobium	Rhodospirillales_uncl	-0.1198	0.2048	0.24310791366906476
Comamonas	Methanomicrobium	0.0117	0.8951	0.9079395491803278
Methanomicrobium	Ruminobacter	0.034	0.7443	0.7767290934645116
Methanomicrobium	Succinivibrio	0.1155	0.2458	0.2865094191522763
Acinetobacter	Methanomicrobium	-0.0032	0.971	0.9742804054054054
Methanomicrobium	Sphaerochaeta	-0.1101	0.2458	0.2865094191522763
Methanomicrobium	Treponema	-0.0931	0.3427	0.38877731092436973
Methanomicrobium	uncl(WPS-2)	-0.1272	0.1738	0.2108602941176471
Candidatus_Methanomethylophilus	Methanimicrococcus	0.5109	0.001	0.0018702770780856424
Methanimicrococcus	Methanomethylophilaceae_uncl	0.7458	0.001	0.0018702770780856424
Bifidobacterium	Methanimicrococcus	-0.0689	0.4356	0.4841811377245509
Methanimicrococcus	Pseudoscardovia	0.1013	0.2877	0.3314464701318852
Methanimicrococcus	Olsenella	0.3554	0.001	0.0018702770780856424
Methanimicrococcus	uncl(F082)	-0.5875	0.001	0.0018702770780856424
Methanimicrococcus	Muribaculaceae	0.0208	0.8332	0.8533117241379311
Methanimicrococcus	Prevotella	-0.5754	0.001	0.0018702770780856424
Methanimicrococcus	Prevotella_7	0.0743	0.4106	0.4577635135135135
Methanimicrococcus	Prevotellaceae_uncl(UCG-001)	-0.0273	0.7672	0.7978235294117647
Methanimicrococcus	Prevotellaceae_uncl(UCG-003)	-0.2096	0.019	0.027880434782608696
Methanimicrococcus	Prevotellaceae_uncl(YAB2003)	0.0326	0.7113	0.7464879858657244
Methanimicrococcus	Rikenellaceae_uncl(RC9_gut)	-0.4878	0.001	0.0018702770780856424
Bacteroidales_uncl	Methanimicrococcus	0.1259	0.1588	0.1952135761589404
Fibrobacter	Methanimicrococcus	0.4765	0.001	0.0018702770780856424
Catenisphaera	Methanimicrococcus	0.1153	0.2048	0.24310791366906476
Erysipelotrichaceae_uncl	Methanimicrococcus	-0.3499	0.001	0.0018702770780856424
Izemoplasmatales	Methanimicrococcus	-0.1737	0.0549	0.07384646739130435
Lactobacillus	Methanimicrococcus	-0.0151	0.8641	0.8801018518518519
Limosilactobacillus	Methanimicrococcus	0.1666	0.0569	0.0759177897574124
Methanimicrococcus	Streptococcus	-0.1688	0.0669	0.08822957371225577
Christensenellaceae_uncl(R-7)	Methanimicrococcus	-0.4388	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Methanimicrococcus	-0.0154	0.8691	0.8845877313228238
Clostridia_uncl(vadinBB60)	Methanimicrococcus	-0.1531	0.0729	0.09538017621145375
Methanimicrococcus	Pseudoramibacter	0.0107	0.9061	0.9165929836512262
Acetitomaculum	Methanimicrococcus	-0.1241	0.1778	0.21483563873067538
Coprococcus	Methanimicrococcus	-0.1288	0.1558	0.19216196013289036
Lachnospiraceae_uncl(NK3A20)	Methanimicrococcus	0.1859	0.046	0.0630747922437673
Methanimicrococcus	Pseudobutyrivibrio	0.2295	0.014	0.02089447236180905
Methanimicrococcus	Shuttleworthia	0.3282	0.001	0.0018702770780856424
Methanimicrococcus	Syntrophococcus	0.0081	0.9271	0.9346527494908351
Methanimicrococcus	Monoglobus	-0.3613	0.001	0.0018702770780856424
Methanimicrococcus	uncl(NK4A214)	-0.2636	0.002	0.0034859154929577463
Methanimicrococcus	uncl(UCG-010)	-0.2399	0.01	0.015277777777777779
Methanimicrococcus	uncl(Family_XIII_AD3011)	-0.4836	0.001	0.0018702770780856424
Eubacterium_nodatum	Methanimicrococcus	0.0239	0.7762	0.8054905660377358
Methanimicrococcus	Succiniclasticum	-0.3839	0.001	0.0018702770780856424
Methanimicrococcus	Selenomonas	0.2088	0.022	0.03171844660194175
Dialister	Methanimicrococcus	-0.0298	0.7662	0.7973419761737911
Megasphaera	Methanimicrococcus	0.1615	0.0639	0.0845735294117647
Methanimicrococcus	Negativicutes_uncl	-0.1073	0.1808	0.21775182481751823
Candidatus_Saccharimonas	Methanimicrococcus	-0.2622	0.005	0.008114754098360656
Methanimicrococcus	Rhodospirillales_uncl	-0.0324	0.7263	0.7616646685472496
Comamonas	Methanimicrococcus	-0.1107	0.1838	0.22064915117219078
Methanimicrococcus	Ruminobacter	0.0731	0.4096	0.45733533834586465
Methanimicrococcus	Succinivibrio	0.0131	0.8911	0.9045
Acinetobacter	Methanimicrococcus	-0.0481	0.5944	0.6341120689655173
Methanimicrococcus	Sphaerochaeta	-0.0321	0.7003	0.736505311614731
Methanimicrococcus	Treponema	-0.0206	0.8062	0.83139375
Methanimicrococcus	uncl(WPS-2)	-0.146	0.1079	0.1365997442455243
Candidatus_Methanomethylophilus	Methanomethylophilaceae_uncl	0.8623	0.001	0.0018702770780856424
Bifidobacterium	Candidatus_Methanomethylophilus	0.1197	0.1778	0.21483563873067538
Candidatus_Methanomethylophilus	Pseudoscardovia	-0.0647	0.4765	0.5257076523031203
Candidatus_Methanomethylophilus	Olsenella	-0.0597	0.5155	0.558771897810219
Candidatus_Methanomethylophilus	uncl(F082)	-0.4782	0.001	0.0018702770780856424
Candidatus_Methanomethylophilus	Muribaculaceae	-0.1087	0.2448	0.28579245283018867
Candidatus_Methanomethylophilus	Prevotella	-0.6184	0.001	0.0018702770780856424
Candidatus_Methanomethylophilus	Prevotella_7	-0.1792	0.0609	0.08089132379248658
Candidatus_Methanomethylophilus	Prevotellaceae_uncl(UCG-001)	0.1183	0.1998	0.23831566265060242
Candidatus_Methanomethylophilus	Prevotellaceae_uncl(UCG-003)	0.0323	0.7273	0.7616646685472496
Candidatus_Methanomethylophilus	Prevotellaceae_uncl(YAB2003)	-0.1304	0.1778	0.21483563873067538
Candidatus_Methanomethylophilus	Rikenellaceae_uncl(RC9_gut)	-0.5265	0.001	0.0018702770780856424
Bacteroidales_uncl	Candidatus_Methanomethylophilus	-0.1171	0.2218	0.26037391304347823
Candidatus_Methanomethylophilus	Fibrobacter	0.0091	0.9251	0.9332700407608696
Candidatus_Methanomethylophilus	Catenisphaera	-0.0764	0.4006	0.4486357466063349
Candidatus_Methanomethylophilus	Erysipelotrichaceae_uncl	0.0259	0.7782	0.807002094972067
Candidatus_Methanomethylophilus	Izemoplasmatales	-0.1577	0.0959	0.12266279069767441
Candidatus_Methanomethylophilus	Lactobacillus	-0.2828	0.007	0.0109536354056902
Candidatus_Methanomethylophilus	Limosilactobacillus	-0.1492	0.1039	0.13221208226221082
Candidatus_Methanomethylophilus	Streptococcus	-0.3207	0.002	0.0034859154929577463
Candidatus_Methanomethylophilus	Christensenellaceae_uncl(R-7)	-0.3164	0.001	0.0018702770780856424
Candidatus_Methanomethylophilus	Clostridia_uncl(UCG-014)	-0.0433	0.6424	0.680916488222698
Candidatus_Methanomethylophilus	Clostridia_uncl(vadinBB60)	0.1137	0.2058	0.24409984025559106
Candidatus_Methanomethylophilus	Pseudoramibacter	-0.1984	0.029	0.041053384175405154
Acetitomaculum	Candidatus_Methanomethylophilus	-0.169	0.0859	0.11082667245873155
Candidatus_Methanomethylophilus	Coprococcus	0.0563	0.5285	0.5711954148471615
Candidatus_Methanomethylophilus	Lachnospiraceae_uncl(NK3A20)	-0.1216	0.1928	0.2307074939564867
Candidatus_Methanomethylophilus	Pseudobutyrivibrio	-0.0286	0.7303	0.7637292253521126
Candidatus_Methanomethylophilus	Shuttleworthia	0.0116	0.9011	0.9121564417177914
Candidatus_Methanomethylophilus	Syntrophococcus	-0.0617	0.5325	0.5751
Candidatus_Methanomethylophilus	Monoglobus	0.0075	0.9461	0.9518689024390244
Candidatus_Methanomethylophilus	uncl(NK4A214)	-0.0836	0.4016	0.44941672946495853
Candidatus_Methanomethylophilus	uncl(UCG-010)	-0.067	0.4745	0.5238903345724907
Candidatus_Methanomethylophilus	uncl(Family_XIII_AD3011)	-0.2138	0.024	0.0344015444015444
Candidatus_Methanomethylophilus	Eubacterium_nodatum	-0.0586	0.5375	0.579656862745098
Candidatus_Methanomethylophilus	Succiniclasticum	-0.2646	0.007	0.0109536354056902
Candidatus_Methanomethylophilus	Selenomonas	0.0237	0.8312	0.8530283344851417
Candidatus_Methanomethylophilus	Dialister	-0.2013	0.028	0.03967557251908397
Candidatus_Methanomethylophilus	Megasphaera	-0.0529	0.5764	0.6162375809935206
Candidatus_Methanomethylophilus	Negativicutes_uncl	-0.0034	0.974	0.9766306549628629
Candidatus_Methanomethylophilus	Candidatus_Saccharimonas	0.0628	0.4945	0.5423430576070901
Candidatus_Methanomethylophilus	Rhodospirillales_uncl	0.0175	0.8362	0.8552045454545455
Candidatus_Methanomethylophilus	Comamonas	0.2126	0.01	0.015277777777777779
Candidatus_Methanomethylophilus	Ruminobacter	-0.1461	0.1159	0.14573370025402202
Candidatus_Methanomethylophilus	Succinivibrio	-0.0571	0.5435	0.5857021044992743
Acinetobacter	Candidatus_Methanomethylophilus	0.1409	0.1359	0.16887991631799162
Candidatus_Methanomethylophilus	Sphaerochaeta	0.0782	0.3986	0.44740816326530614
Candidatus_Methanomethylophilus	Treponema	-0.3205	0.001	0.0018702770780856424
Candidatus_Methanomethylophilus	uncl(WPS-2)	0.1861	0.033	0.046318525519848774
Bifidobacterium	Methanomethylophilaceae_uncl	0.0664	0.4925	0.5409485946745561
Methanomethylophilaceae_uncl	Pseudoscardovia	-0.1033	0.2657	0.30825351562500003
Methanomethylophilaceae_uncl	Olsenella	0.0676	0.4745	0.5238903345724907
Methanomethylophilaceae_uncl	uncl(F082)	-0.54	0.001	0.0018702770780856424
Methanomethylophilaceae_uncl	Muribaculaceae	-0.1791	0.0779	0.10174274406332452
Methanomethylophilaceae_uncl	Prevotella	-0.6673	0.001	0.0018702770780856424
Methanomethylophilaceae_uncl	Prevotella_7	-0.1709	0.0589	0.0785157091561939
Methanomethylophilaceae_uncl	Prevotellaceae_uncl(UCG-001)	0.1461	0.1199	0.15038133445945948
Methanomethylophilaceae_uncl	Prevotellaceae_uncl(UCG-003)	0.0038	0.963	0.9669066937119676
Methanomethylophilaceae_uncl	Prevotellaceae_uncl(YAB2003)	-0.1594	0.0909	0.11697270363951473
Methanomethylophilaceae_uncl	Rikenellaceae_uncl(RC9_gut)	-0.5368	0.001	0.0018702770780856424
Bacteroidales_uncl	Methanomethylophilaceae_uncl	0.0055	0.95	0.9551455653351387
Fibrobacter	Methanomethylophilaceae_uncl	0.1679	0.0939	0.12031190681622088
Catenisphaera	Methanomethylophilaceae_uncl	-0.0631	0.5045	0.5508694852941176
Erysipelotrichaceae_uncl	Methanomethylophilaceae_uncl	-0.0306	0.7463	0.7782693117977527
Izemoplasmatales	Methanomethylophilaceae_uncl	-0.1158	0.2078	0.24607894736842106
Lactobacillus	Methanomethylophilaceae_uncl	-0.2775	0.01	0.015277777777777779
Limosilactobacillus	Methanomethylophilaceae_uncl	-0.1132	0.2228	0.2613412322274881
Methanomethylophilaceae_uncl	Streptococcus	-0.3735	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Methanomethylophilaceae_uncl	-0.3335	0.004	0.006592674805771366
Clostridia_uncl(UCG-014)	Methanomethylophilaceae_uncl	0.0185	0.8422	0.8607481073640743
Clostridia_uncl(vadinBB60)	Methanomethylophilaceae_uncl	0.0855	0.3606	0.4069080547112462
