	feature1	feature2	r	p	p_adj	stype
44	uncl(F082)	Valerate_d	-0.5439272497623975	0.0002859436680211786	0.004543327169669838	FL
45	Methanomethylophilaceae_uncl	IsoValerate_d	-0.5413753982026003	0.0003093419164386065	0.004713730535012022	FL
46	Christensenellaceae_uncl(R-7)	NH3N_d	0.5405659531371678	0.00031711506093551567	0.004713730535012022	FL
47	uncl(NK4A214)	Tot_gas	0.539504560500034	0.00032757329256735094	0.004713730535012022	FL
48	uncl(Family_XIII_AD3011)	Acetate_d	0.5388766370720828	0.00033390518534165544	0.004713730535012022	FL
49	Coprococcus	VFA_d	0.5386754995924318	0.0003359565321824477	0.004713730535012022	FL
50	Prevotella_7	Valerate_d	0.538649341975121	0.00033622413606379455	0.004713730535012022	FL
51	Methanosphaera	Propionate_d	0.5365476278178651	0.0003583611969601373	0.004927466458201888	FL
52	Prevotella	IsoValerate_d	-0.5352735426653767	0.0003724090196749565	0.00502400847297347	FL
53	Erysipelotrichaceae_uncl	Acetate_d	0.5346469675286932	0.00037949699811385583	0.005024821363914943	FL
54	uncl(NK4A214)	Acetate_d	0.5337086611623739	0.0003903376487546747	0.005074389433810771	FL
55	Methanobrevibacter	Butyrate_d	-0.5293427833064596	0.00044451799126592157	0.0056755422099131056	FL
56	Pseudoscardovia	ph	-0.5267598678348776	0.0004796535773972534	0.006016707155070811	FL
57	Prevotella	Butyrate_d	-0.5261528409752969	0.0004882632408022925	0.006019107192648951	FL
58	Prevotellaceae_uncl(UCG-001)	IsoButyrate_d	-0.5234747974157253	0.0005279203173306882	0.006361313764860065	FL
59	uncl(Family_XIII_AD3011)	NH3N_d	0.5230920959547165	0.000533816539708537	0.006361313764860065	FL
60	Candidatus_Methanomethylophilus	Butyrate_d	-0.5205235309791275	0.0005749368044720887	0.0066921447595808935	FL
61	Pseudoramibacter	CH4_p	0.5202008404037755	0.0005802978672643571	0.0066921447595808935	FL
62	Lactobacillus	CH4_p	0.5168676536921633	0.0006383433397546536	0.0072446902845171015	FL
63	Negativicutes_uncl	ph	0.5055121408340488	0.0008769597579146996	0.009797284795453285	FL
64	Candidatus_Saccharimonas	Propionate_d	0.5015718156008653	0.0009766414977697472	0.010587284553146383	FL
65	uncl(F082)	Acetate_d	0.5012197498644327	0.0009860197169424226	0.010587284553146383	FL
66	Succinivibrio	Butyrate_d	-0.5005629596062084	0.0010037291175363538	0.010587284553146383	FL
67	Pseudoramibacter	CH4_ml	0.5002346118123095	0.0010126879923623832	0.010587284553146383	FL
68	Candidatus_Saccharimonas	VFA_d	0.4994135590764754	0.0010354016908828902	0.010587284553146383	FL
69	Ruminobacter	ph	0.4993736430818991	0.001036517368839506	0.010587284553146383	FL
70	uncl(WPS-2)	IsoValerate_d	-0.4988262160522433	0.0010519263553740038	0.010593342874541023	FL
71	Muribaculaceae	CH4_ml	0.4975367196100632	0.0010890294353937493	0.010812117696505108	FL
72	uncl(Family_XIII_AD3011)	VFA_d	0.4966685457305408	0.0011146592332290782	0.010812117696505108	FL
73	Bacteroidales_uncl	ph	0.4961136126695539	0.001131320642421722	0.010812117696505108	FL
74	Clostridia_uncl(vadinBB60)	IsoButyrate_d	-0.4960204864120661	0.0011341382199131233	0.010812117696505108	FL
75	Methanomethylophilaceae_uncl	Butyrate_d	-0.4946287049967485	0.001176995038479707	0.011073045427802505	FL
76	Succiniclasticum	NH3N_d	0.4938289252324978	0.0012022666145927955	0.011163904278361671	FL
77	uncl(WPS-2)	Acetate_d	0.4889014080081377	0.0013688492008019054	0.012547784340684133	FL
78	uncl(NK4A214)	NH3N_d	0.4863444735014321	0.0014630889356781213	0.013241880873542491	FL
79	Prevotellaceae_uncl(UCG-003)	IsoValerate_d	-0.483924081452125	0.0015575347178557485	0.013920466540835752	FL
80	Methanobrevibacter	Propionate_d	0.4824771420569838	0.0016165325346131063	0.014269392126523098	FL
81	Erysipelotrichaceae_uncl	NH3N_d	0.4808071666823306	0.0016870701894533735	0.01471042909096539	FL
82	Christensenellaceae_uncl(R-7)	Valerate_d	-0.4782242170042131	0.0018015245860552886	0.015513118738454321	FL
83	Bifidobacterium	NH3N_d	-0.4777661832121007	0.0018225202433988293	0.015513118738454321	FL
84	Coprococcus	Tot_gas	0.4772070440247645	0.0018484426233693926	0.015526475710933726	FL
85	Syntrophococcus	Propionate_d	0.4767267288259135	0.0018709695559482734	0.015526475710933726	FL
86	Muribaculaceae	NH3N_d	0.4761837978080543	0.0018967241968510637	0.015526475710933726	FL
87	Treponema	Acetate_d	-0.4758866662883569	0.001910950856730305	0.015526475710933726	FL
88	Coprococcus	Propionate_d	0.4746692086517748	0.0019702293398962067	0.015828246944109975	FL
89	Treponema	Valerate_d	0.4697766842210181	0.002225098495353745	0.01767717137975475	FL
90	Coprococcus	Valerate_d	-0.4685725581294866	0.002292103786033703	0.01789139437734033	FL
91	Prevotella_7	Propionate_d	-0.46809609532210106	0.0023191029259464085	0.01789139437734033	FL
92	Clostridia_uncl(UCG-014)	Acetate_d	0.4679553365820872	0.002327132415514197	0.01789139437734033	FL
93	Christensenellaceae_uncl(R-7)	Propionate_d	0.4663382722721138	0.002421144010618405	0.018416148591405956	FL
94	Acinetobacter	IsoValerate_d	-0.4651628265583282	0.0024915584845741677	0.01869741825952176	FL
95	Shuttleworthia	CH4_p	0.4646075936194021	0.0025254399537780092	0.01869741825952176	FL
96	Prevotella	Valerate_d	-0.4644265801249944	0.0025365728268162387	0.01869741825952176	FL
97	Fibrobacter	CH4_p	0.4598057164010044	0.0028357376805476326	0.0202124577369126	FL
98	Rikenellaceae_uncl(RC9_gut)	Acetate_d	0.4596547275525751	0.002846013558721009	0.0202124577369126	FL
99	Bifidobacterium	VFA_d	-0.4595927267752501	0.0028502425958398985	0.0202124577369126	FL
100	Olsenella	CH4_ml	0.4595203499812207	0.00285518633766178	0.0202124577369126	FL
101	Clostridia_uncl(UCG-014)	NH3N_d	0.4579755280190009	0.0029625126067839465	0.020766632488730608	FL
102	Treponema	NH3N_d	-0.4520670479621072	0.0034062812197343945	0.02364554438941837	FL
103	Methanomethylophilaceae_uncl	IsoButyrate_d	-0.4456745529660223	0.003950775661165727	0.02691862100602916	FL
104	Shuttleworthia	Acetate_d	-0.445649130596961	0.003953084203682604	0.02691862100602916	FL
105	Succinivibrio	Propionate_d	0.4443558302892271	0.004072087185278896	0.02746738054221142	FL
106	Clostridia_uncl(vadinBB60)	Butyrate_d	-0.44379808789828784	0.004124362990582524	0.02755999568473369	FL
107	Succinivibrio	ph	0.44268603516398697	0.0042303392096365	0.02800641236009349	FL
108	Lactobacillus	CH4_ml	0.4419630367780086	0.00430050362547324	0.02820972561663639	FL
109	Syntrophococcus	Butyrate_d	-0.4409308435769917	0.004402427973135472	0.028615781825380566	FL
110	Prevotella_7	Acetate_d	-0.4399249398487677	0.004503770970219724	0.029010776970334256	FL
111	Methanomicrobium	Acetate_Propionate	-0.4377003066140121	0.004735126659376512	0.030228710370126838	FL
112	Candidatus_Methanomethylophilus	Valerate_d	-0.4352356612852869	0.00500342962073941	0.03165886883919184	FL
113	Methanosphaera	Valerate_d	-0.4320935493840329	0.005364534971618615	0.033645986883397455	FL
114	Prevotellaceae_uncl(YAB2003)	Tot_gas	-0.4312456135538502	0.005465769453040515	0.033743246392257675	FL
115	Olsenella	Valerate_d	0.431173716523154	0.005474428785317329	0.033743246392257675	FL
116	uncl(NK4A214)	Acetate_Propionate	0.42926337234925616	0.005708905160459142	0.03488775375836142	FL
117	Methanosphaera	VFA_d	0.428249599409402	0.005836829178448865	0.03536722764907575	FL
118	uncl(F082)	Propionate_d	0.4276800492990533	0.0059097804804565356	0.035508344903583386	FL
119	Erysipelotrichaceae_uncl	VFA_d	0.4260649296292019	0.006120958601724006	0.03589002829606604	FL
120	Bifidobacterium	Tot_gas	-0.42600396664380497	0.00612905564454065	0.03589002829606604	FL
121	Ruminobacter	IsoValerate_d	-0.4259095164982136	0.0061416186965561614	0.03589002829606604	FL
122	Candidatus_Methanomethylophilus	IsoValerate_d	-0.4250646441930596	0.006254990562327573	0.03589002829606604	FL
123	Methanosphaera	NH3N_d	0.42498944684425455	0.006265168199737683	0.03589002829606604	FL
124	Limosilactobacillus	Acetate_Propionate	0.4249207356179826	0.006274480471340216	0.03589002829606604	FL
125	Candidatus_Methanomethylophilus	Propionate_d	0.42448980759739297	0.006333156179927377	0.03593814816387361	FL
126	Methanobacteriaceae_uncl	Tot_gas	0.4240931066662458	0.006387589747291196	0.03596162731742681	FL
127	Christensenellaceae_uncl(R-7)	VFA_d	0.4223858933792416	0.006626481185602481	0.037015109747701364	FL
128	uncl(NK4A214)	VFA_d	0.4211859654493476	0.0067989652688450475	0.037684187342823326	FL
129	Methanobacteriaceae_uncl	Valerate_d	-0.4200544716431457	0.006965144768527566	0.03830829622690161	FL
130	Rikenellaceae_uncl(RC9_gut)	Butyrate_d	-0.4196650602144264	0.00702314054032835	0.038332408292631834	FL
131	Syntrophococcus	NH3N_d	0.4180120308389799	0.0072739853180887075	0.038942724240205236	FL
132	Megasphaera	NH3N_d	-0.4176914656939862	0.007323513383139955	0.038942724240205236	FL
133	Monoglobus	ph	-0.4176630499654289	0.007327917654003425	0.038942724240205236	FL
134	Rhodospirillales_uncl	Valerate_d	-0.4173276944186439	0.00738006828481421	0.038942724240205236	FL
135	Ruminobacter	Butyrate_d	-0.41675658338307225	0.007469616272929565	0.038942724240205236	FL
136	Muribaculaceae	Acetate_Propionate	0.41640876371088864	0.007524609877344883	0.038942724240205236	FL
137	Muribaculaceae	IsoButyrate_d	0.4163232817005451	0.007538178599786187	0.038942724240205236	FL
138	Selenomonas	NH3N_d	-0.4161190405118698	0.0075706834536902485	0.038942724240205236	FL
139	uncl(NK4A214)	CH4_p	0.4081546586300045	0.008935825703195904	0.04563653841275051	FL
140	Candidatus_Saccharimonas	Acetate_Propionate	0.4076689724617095	0.009025495267162491	0.045767582383128946	FL
141	Rikenellaceae_uncl(RC9_gut)	Propionate_d	0.4064743250468405	0.009249343090894391	0.04637872770927138	FL
142	Eubacterium_nodatum	Acetate_d	0.4063350557548391	0.009275745541854277	0.04637872770927138	FL
143	Limosilactobacillus	CH4_ml	0.40441005100458977	0.009647348155401428	0.04790176341050014	FL
144	uncl(NK4A214)	Valerate_d	-0.4028723491778721	0.009953265968022212	0.049079897704385395	FL
145	Izemoplasmatales	ph	0.40163315129109617	0.010205795550044888	0.049980437111521205	FL
146	Megasphaera	Propionate_d	-0.7936236690590379	1.0065529497989524e-09	7.19685359106251e-07	E
147	Catenisphaera	Butyrate_d	-0.7826984459297076	2.419047788715561e-09	8.648095844658131e-07	E
148	Megasphaera	Valerate_d	0.7446205461179384	3.6121345442983935e-08	7.40674899753736e-06	E
149	Catenisphaera	IsoValerate_d	-0.7424898336232335	4.1436358028181034e-08	7.40674899753736e-06	E
150	Megasphaera	Butyrate_d	0.7292154189383574	9.467074636996195e-08	1.3537916730904559e-05	E
151	Treponema	Acetate_d	-0.6942203162199434	6.758932387117425e-07	8.054394427981598e-05	E
152	Methanosphaera	Acetate_Propionate	0.6743745113973444	1.8320548109633517e-06	0.00016961952825515935	E
153	Shuttleworthia	Propionate_d	-0.6736437048633932	1.8978408755822026e-06	0.00016961952825515935	E
154	Megasphaera	Acetate_d	-0.6623314241769123	3.2367038520328486e-06	0.000257138139355943	E
155	Candidatus_Saccharimonas	NH3N_d	0.659095201650683	3.755297152194551e-06	0.0002685037463819104	E
156	Prevotellaceae_uncl(UCG-001)	IsoButyrate_d	-0.6531998157162551	4.9006787215408896e-06	0.0002936688690679067	E
157	Comamonas	Propionate_d	-0.6530721072437818	4.928708292048784e-06	0.0002936688690679067	E
158	Comamonas	ph	-0.6370811209539659	9.862946332057816e-06	0.0005424620482631799	E
159	Comamonas	Butyrate_d	0.6260179505937657	1.558216546708044e-05	0.0007958034506401796	E
160	Bacteroidales_uncl	ph	0.620450632267031	1.948560091949233e-05	0.0009288136438291343	E
161	Prevotellaceae_uncl(UCG-001)	NH3N_d	-0.6167167505619215	2.258337924286985e-05	0.0009811255306288206	E
162	Shuttleworthia	Butyrate_d	0.6149225823955167	2.422627217818487e-05	0.0009811255306288206	E
163	Shuttleworthia	Acetate_d	-0.6137312933317742	2.537658419856149e-05	0.0009811255306288206	E
164	Prevotellaceae_uncl(UCG-001)	CH4_ml	-0.6130349126093071	2.607186724747915e-05	0.0009811255306288206	E
165	Prevotellaceae_uncl(UCG-003)	Valerate_d	-0.6075385332596039	3.219994586635943e-05	0.0011511480647223497	E
166	Methanosphaera	IsoButyrate_d	0.6025958071568625	3.880239949422693e-05	0.0013211293161129645	E
167	Bifidobacterium	Acetate_d	-0.5963184247514938	4.8957084289845224e-05	0.0015911052394199697	E
168	Methanobrevibacter	ph	-0.5921090662109506	5.706098235616506e-05	0.0017007191539933546	E
169	Lactobacillus	Butyrate_d	0.5915274936902232	5.827166815163783e-05	0.0017007191539933546	E
170	Erysipelotrichaceae_uncl	ph	-0.5909645700767624	5.9465704685082335e-05	0.0017007191539933546	E
171	Treponema	Propionate_d	-0.5883181020414797	6.538256021000094e-05	0.001798020405775026	E
172	Shuttleworthia	IsoValerate_d	0.5866278937647522	6.943596883084655e-05	0.0018387673227427883	E
173	Prevotellaceae_uncl(UCG-001)	CH4_p	-0.5830322426499107	7.8827159089903e-05	0.0020129078124743087	E
174	Megasphaera	IsoValerate_d	0.5774428602016664	9.572786070086834e-05	0.0023080246923318365	E
175	Clostridia_uncl(vadinBB60)	NH3N_d	-0.5771072126672209	9.684019688105608e-05	0.0023080246923318365	E
176	Prevotella_7	Propionate_d	-0.5698334662995066	0.00012400942213423435	0.002859521002201509	E
177	Treponema	Valerate_d	0.5688944022105076	0.0001279785623362913	0.002859521002201509	E
178	Clostridia_uncl(vadinBB60)	CH4_ml	-0.5656437712594868	0.0001426206506342308	0.0030901140970750005	E
179	Clostridia_uncl(vadinBB60)	VFA_d	-0.5638078258421695	0.0001515435074720455	0.0031868708188974274	E
180	Acetitomaculum	ph	-0.5604367594469751	0.0001692496118909401	0.003457527785772062	E
181	Prevotellaceae_uncl(UCG-003)	Propionate_d	0.5577870589407738	0.00018445403054291034	0.0036634619955050246	E
182	Prevotellaceae_uncl(UCG-003)	IsoValerate_d	-0.5564058767347815	0.00019285821687984266	0.0037268547315969596	E
183	Catenisphaera	Valerate_d	-0.5534332177895467	0.00021212785600091498	0.003939842253094632	E
184	Shuttleworthia	Valerate_d	0.5530256947810134	0.00021490048653243448	0.003939842253094632	E
185	Pseudoscardovia	Acetate_d	0.5503683204106209	0.00023379490706606606	0.004179083963805931	E
186	Pseudoscardovia	Acetate_Propionate	0.5486590873601609	0.00024672494344392653	0.004302642306400182	E
187	Ruminobacter	IsoButyrate_d	-0.5445243371904623	0.00028070395943237804	0.00477865073795596	E
188	Bifidobacterium	Propionate_d	-0.5418683923009722	0.00030469193876296905	0.0050663892143144856	E
189	Prevotella_7	Valerate_d	0.5397034833707999	0.00032558998429924784	0.005290837244862777	E
190	Catenisphaera	Propionate_d	0.5385192925836499	0.0003375574403106559	0.005363412662713754	E
191	Comamonas	IsoValerate_d	0.5364851638161073	0.00035903867180934985	0.005469005868492299	E
192	Methanimicrococcus	ph	0.5364425894324889	0.0003595010850617315	0.005469005868492299	E
193	Prevotellaceae_uncl(UCG-003)	Butyrate_d	-0.5342279365895422	0.0003843044303473485	0.005724534743715712	E
194	Prevotella_7	Acetate_d	-0.5279602269725127	0.00046302728803115646	0.006756418590658711	E
195	Bifidobacterium	ph	-0.5266425414773268	0.00048130698823089764	0.0068826899317018355	E
196	Coprococcus	NH3N_d	0.5183898754091788	0.0006112213448860463	0.008569083560657316	E
197	Coprococcus	Acetate_d	0.5057294941052793	0.0008717345237432894	0.011752861074852817	E
198	Treponema	VFA_d	-0.5056996813225483	0.0008724495889343112	0.011752861074852817	E
199	uncl(UCG-010)	Propionate_d	-0.5043633381490014	0.0009050427301233619	0.011752861074852817	E
200	Comamonas	Acetate_d	-0.503702158689039	0.0009215655310229623	0.011752861074852817	E
201	Syntrophococcus	Valerate_d	-0.503332742960885	0.0009309134713234524	0.011752861074852817	E
202	Izemoplasmatales	Acetate_d	-0.5030962745737716	0.0009369413724008539	0.011752861074852817	E
203	Candidatus_Saccharimonas	Valerate_d	-0.5021356937123221	0.0009617861021003967	0.011836792034536206	E
204	Methanosphaera	IsoValerate_d	0.5014085059631613	0.0009809817912713658	0.011836792034536206	E
205	Acetitomaculum	IsoValerate_d	0.5007746782931078	0.0009979898244400548	0.011836792034536206	E
206	Ruminobacter	Butyrate_d	-0.5000703713263789	0.0010171958309776973	0.011836792034536206	E
207	Streptococcus	IsoButyrate_d	-0.4987139386103597	0.0010551117531830538	0.011836792034536206	E
208	Izemoplasmatales	Propionate_d	-0.4984283505652856	0.0010632527226554116	0.011836792034536206	E
209	uncl(Family_XIII_AD3011)	ph	-0.4980257417291426	0.0010748241675627174	0.011836792034536206	E
210	Prevotella	CH4_ml	-0.4979825554524186	0.0010760720031396552	0.011836792034536206	E
211	Lachnospiraceae_uncl(NK3A20)	IsoValerate_d	0.4970189855713071	0.0011042500297279933	0.011962708655386593	E
212	Coprococcus	Tot_gas	0.4949515502218709	0.0011669278743827412	0.012413925276247462	E
213	Comamonas	Valerate_d	0.49451289356108	0.0011806250612375207	0.012413925276247462	E
214	Eubacterium_nodatum	Acetate_d	0.4875416456965291	0.0014182741203942345	0.014382206483423839	E
215	Monoglobus	CH4_ml	-0.4873551401914114	0.00142517489819584	0.014382206483423839	E
216	uncl(Family_XIII_AD3011)	IsoValerate_d	0.4872746248994518	0.0014281631612910386	0.014382206483423839	E
217	uncl(WPS-2)	CH4_p	-0.4850490674840692	0.0015129870620979894	0.015013475103491464	E
218	Clostridia_uncl(vadinBB60)	Acetate_d	-0.4843991935140026	0.0015385816309747054	0.015013475103491464	E
219	Clostridia_uncl(vadinBB60)	IsoButyrate_d	-0.4840162431316658	0.0015538421785431724	0.015013475103491464	E
220	Methanosphaera	NH3N_d	0.4826809434543117	0.0016081050849220092	0.015287942418052163	E
221	Bifidobacterium	VFA_d	-0.482273025960463	0.0016250120612195306	0.015287942418052163	E
222	Selenomonas	Propionate_d	-0.4806871029014056	0.0016922446319332005	0.01571370015366543	E
223	Eubacterium_nodatum	Valerate_d	-0.47913442008353097	0.0017604341435654032	0.016137312982682863	E
224	uncl(WPS-2)	Valerate_d	-0.4779546420256925	0.0018138555661921523	0.016295126589125658	E
225	uncl(UCG-010)	IsoValerate_d	0.4777507603121299	0.0018232309470350386	0.016295126589125658	E
226	Lactobacillus	IsoValerate_d	0.4758731782319093	0.001911598889773314	0.01686593693377386	E
227	Lachnospiraceae_uncl(NK3A20)	Valerate_d	0.4754037135790211	0.0019342752847125266	0.01686593693377386	E
228	Acetitomaculum	Butyrate_d	0.4735138183788565	0.0020279773309102747	0.0174699252000102	E
229	uncl(UCG-010)	ph	-0.4698846651644623	0.002219174749072725	0.018455428018603504	E
230	Treponema	NH3N_d	-0.4693351270206556	0.002249466867692975	0.018455428018603504	E
231	Selenomonas	NH3N_d	-0.4691358029860125	0.002260543668046361	0.018455428018603504	E
232	Streptococcus	VFA_d	-0.4690373449056112	0.0022660328317716423	0.018455428018603504	E
233	Streptococcus	CH4_ml	-0.4689406106790017	0.0022714372945973546	0.018455428018603504	E
234	Lachnospiraceae_uncl(NK3A20)	Propionate_d	-0.466613486506861	0.002404912157494163	0.0193203617147003	E
235	Lactobacillus	Propionate_d	-0.46556254925139895	0.00246741421917278	0.019602235185650418	E
236	Prevotella_7	ph	-0.4649992092540225	0.0025015010424334376	0.019654651047691298	E
237	uncl(WPS-2)	Butyrate_d	-0.4640946539488914	0.0025570992104632967	0.019873107994361493	E
238	Candidatus_Saccharimonas	Acetate_d	0.4621592460396092	0.0026797127072164953	0.02060209231892252	E
239	Selenomonas	VFA_d	-0.4601811567856448	0.002810327024719814	0.021376423645475182	E
240	Clostridia_uncl(vadinBB60)	Tot_gas	-0.4588494764949417	0.0029013694231151874	0.02183662250028799	E
241	Candidatus_Saccharimonas	IsoButyrate_d	0.4567011300160534	0.0030536931960294888	0.022695096888798307	E
242	Izemoplasmatales	Valerate_d	0.4563544932432746	0.0030789152422565536	0.022695096888798307	E
243	Methanimicrococcus	Acetate_Propionate	-0.4557848124571902	0.0031207624613095327	0.022768828161595058	E
244	Clostridia_uncl(UCG-014)	NH3N_d	0.4544345697981348	0.0032219402832300197	0.023269568712216807	E
245	uncl(UCG-010)	Butyrate_d	0.4525239276814888	0.0033700066962241825	0.024095547878002905	E
246	Catenisphaera	IsoButyrate_d	-0.4514131377245372	0.0034587924618029327	0.024485510991971254	E
247	Coprococcus	Valerate_d	-0.4502490396325206	0.0035540245726616328	0.024690224211684555	E
248	Candidatus_Saccharimonas	Tot_gas	0.45021584282329136	0.0035567735577671455	0.024690224211684555	E
249	uncl(UCG-010)	Acetate_d	-0.4483227818273247	0.0037166382425370993	0.02542319415697877	E
250	Pseudoscardovia	NH3N_d	0.44804769938472455	0.0037403821425565907	0.02542319415697877	E
251	Prevotella_7	Butyrate_d	0.4477177883620037	0.0037690329799157335	0.02542319415697877	E
252	Prevotella_7	IsoValerate_d	0.44449670721160267	0.004058974778183885	0.027123055760761475	E
253	Prevotellaceae_uncl(UCG-001)	Butyrate_d	-0.4431359669700666	0.004187179634017243	0.027610656423474364	E
254	Lactobacillus	Valerate_d	0.442906146224555	0.004209176993228959	0.027610656423474364	E
255	Bifidobacterium	CH4_ml	-0.4422111962130312	0.004276307372639938	0.027795997922159595	E
256	uncl(WPS-2)	CH4_ml	-0.44146640879647786	0.0043492841845154786	0.028015659386743847	E
257	Streptococcus	NH3N_d	-0.4404505237634545	0.004450569211015382	0.02841211594532141	E
258	Prevotellaceae_uncl(UCG-003)	CH4_p	-0.4372595045067087	0.004782174162067608	0.029817646523811338	E
259	Pseudoramibacter	ph	0.4370463729544305	0.004805067231066947	0.029817646523811338	E
260	Treponema	Butyrate_d	0.436459168369665	0.0048686334393118	0.029817646523811338	E
261	Prevotella	CH4_p	-0.4364472507847225	0.004869931065526111	0.029817646523811338	E
262	Lachnospiraceae_uncl(NK3A20)	Butyrate_d	0.43607188149158654	0.004910956451752999	0.029817646523811338	E
263	Prevotella	ph	-0.4359808173513697	0.004920954251482151	0.029817646523811338	E
264	Acinetobacter	ph	-0.4350632325412838	0.005022684339200409	0.030178313466624307	E
265	Pseudoscardovia	VFA_d	0.4327202777517125	0.005290758210656306	0.03152410100516049	E
266	Ruminobacter	ph	0.43138025748829706	0.00544958474352539	0.03198882812212892	E
267	Prevotellaceae_uncl(UCG-001)	IsoValerate_d	-0.4309924634653679	0.005496311791095805	0.03198882812212892	E
268	Prevotellaceae_uncl(UCG-001)	VFA_d	-0.4309374120296519	0.005502973229401199	0.03198882812212892	E
269	Ruminobacter	NH3N_d	-0.4299188596044037	0.005627489541791058	0.03244883082565005	E
270	Coprococcus	Propionate_d	0.4282159820593053	0.0058411133502546475	0.03341116836345658	E
