	Trt1	Trt2	Trt3	Trt4	Trt5
Bifidobacterium_E	0.33914243535537925	0.790324138005289	0.5545806579277899	0.5976229095753168	1.0
Methanobrevibacter_E	0.9670229632331425	1.0	0.9766481499604378	0.9870008484060452	0.9821327790945391
Lactobacillus_E	0.8794849055156471	0.9664894142307561	0.5264448764650176	1.0	0.7479569168939455
Erysipelotrichaceae_uncl_E	1.0	0.9409862461828784	0.7753882160257061	0.9581053249938317	0.7365092284736341
Clostridia_uncl(vadinBB60)_E	0.449608327404195	0.7780097986701129	0.8311629696850055	0.7421457117931396	1.0
Prevotella_7_E	0.9058388335747002	0.9473385063442554	0.9034903236728269	0.8192754173086757	1.0
Acetitomaculum_E	1.0	0.7996818096919787	0.5025608426943762	0.6983135182899035	0.528470886937907
Pseudoscardovia_E	1.0	0.9717127853738082	0.7687087072391484	0.7293797375536568	0.5853637306621698
Ruminobacter_E	0.4182582840479258	0.9054426547271032	1.0	0.7070300253140912	0.9313839261033717
Methanimicrococcus_E	0.0	0.0	1.0	0.0	0.0
Coprococcus_E	1.0	0.6760859934631003	0.356394399593325	0.6005478951825309	0.3655131371925071
uncl(UCG-010)_E	0.9693621049329435	1.0	0.7961606793773653	0.8582295820271391	0.9002641639846582
Syntrophococcus_E	1.0	0.9204912203099965	0.663444338214732	0.8011705921914258	0.8409616984786052
Izemoplasmatales_E	0.7301520062304875	1.0	0.7789291349072522	0.9716838911468308	0.9241841394972827
Streptococcus_E	0.48573419806234824	0.6535974739463555	0.7557158488134095	0.6138963265739728	1.0
uncl(Family_XIII_AD3011)_E	1.0	0.7322111876993666	0.5707723420926217	0.6925464707694353	0.6300479295872555
Prevotella_E	0.8793239453313337	0.8286873060349004	0.7945103471652397	0.9749618789972766	1.0
Lachnospiraceae_uncl(NK3A20)_E	0.9276294819338724	1.0	0.9253858826437533	0.9248855865170871	0.9702731870182798
Eubacterium_nodatum_E	1.0	0.9767524744253048	0.7688883834740318	0.8535479426222834	0.7313764817201873
Monoglobus_E	0.5436303070403082	0.7096088107512218	0.5759592430522815	1.0	0.9408291109582778
uncl(WPS-2)_E	0.38550223663188316	0.4754560850143668	1.0	0.4861886445929242	0.6525762667060147
Selenomonas_E	0.5175028166078348	0.7692665361302002	1.0	0.615207069250056	0.8445155523170828
Clostridia_uncl(UCG-014)_E	1.0	0.5066697753577046	0.2935966196647609	0.7679379039468839	0.5994339335852613
Pseudoramibacter_E	0.8446726244935929	1.0	0.9136714133917594	0.8658099472748976	0.9196108094377066
Acinetobacter_E	0.8474919349572907	1.0	0.7949979337371973	0.8680093022451798	0.8567526521465976
Muribaculaceae_E	0.8893414042808448	1.0	0.5846263257998855	0.6593228712086595	0.7408531412814254
Christensenellaceae_uncl(R-7)_E	1.0	0.6901393720797845	0.5046022486470194	0.9360578011896196	0.7019161149975017
Methanomicrobium_E	0.9642108741262356	0.8748755563216783	1.0	0.8632318492180631	0.9915526149262441
Negativicutes_uncl_E	0.4700685824035709	0.6683428733717298	0.5773432161573105	0.7384543004238836	1.0
Sphaerochaeta_E	0.561384100829011	0.874359694744271	0.7716310700498704	0.8966269240790851	1.0
uncl(NK4A214)_E	1.0	0.8754205256059485	0.7515974221513001	0.9036938706045691	0.826281768338136
Coprococcus_FR	1.0	0.7057897796560899	0.3565328441409917	0.3337020260301748	0.10031120525652741
Catenisphaera_FR	0.300578334890799	0.7959697288810028	0.9398715631783163	0.6102272897809767	1.0
Eubacterium_nodatum_FR	0.8956766746108693	1.0	0.8709207018476534	0.7616860814327029	0.7094678496291679
uncl(UCG-010)_FR	0.41069411595421373	0.5817109449669263	0.6720783411408966	1.0	0.34336935449517886
Megasphaera_FR	1.0	0.35701409904453085	0.054039727788431	0.23588020091327866	0.44564081720355064
Succinivibrio_FR	1.0	0.47855794207298463	0.8415828129656036	0.9924430401425338	0.9449920759394881
Pseudoramibacter_FR	0.8090978660238202	0.740129387419466	0.6289339590632627	0.8276667306085855	1.0
Bifidobacterium_FR	0.09200086785962064	1.0	0.4208338421885037	0.20427803936921543	0.2711300989499147
Fibrobacter_FR	0.5696883223703321	0.6769149182441083	1.0	0.9528541726311499	0.15557477368188893
Rikenellaceae_uncl(RC9_gut)_FR	0.7054020273143845	0.6201675962370937	1.0	0.7491065787249207	0.4727981713888669
Methanomethylophilaceae_uncl_FR	0.9006064893198211	1.0	0.9432541560167546	0.8500151940276103	0.7074324553502439
Muribaculaceae_FR	1.0	0.7541090340143206	0.5390424563613149	0.63327382684929	0.3529249059800526
Methanimicrococcus_FR	0.0	0.0	0.0	0.0	1.0
Syntrophococcus_FR	1.0	0.8618986518982857	0.5831803825611938	0.7827222014599373	0.6722977347099298
Dialister_FR	1.0	0.8573803092965471	0.40696004093012755	0.919830407312764	0.8195738587352756
Lachnospiraceae_uncl(NK3A20)_FR	1.0	0.6703740833591407	0.63754797042402	0.8007244092076823	0.32762828242817976
Clostridia_uncl(UCG-014)_FR	0.6740648007325075	0.3640250793682222	0.16005657361546546	1.0	0.9104082588001451
Rhodospirillales_uncl_FR	0.26651173052918564	0.08240808219490468	0.11423684338666022	1.0	0.03870390271886252
uncl(F082)_FR	0.7105578253358751	0.3771711039749497	0.23852702187285527	1.0	0.46575833834586966
Prevotellaceae_uncl(UCG-003)_FR	0.8008959633387649	0.6740160410517082	0.32190056964251657	1.0	0.2190939833655122
Sphaerochaeta_FR	0.6060307577346249	0.42406519694007755	0.8481953680488448	1.0	0.24550930952710115
Negativicutes_uncl_FR	0.29178239987845	0.9939368601973402	1.0	0.6393322707931969	0.0
Methanobacteriaceae_uncl_FR	0.8401331520861016	0.45008110872387774	0.8541620462142511	1.0	0.45629657701024945
