Combo	AB2007	AB2008	AB2009	AB2010	AB2011	AB2012	AB2013	AB1008	AB1009	AB1010	AB1011	AB1012	AB1013	AB1007	AB1014	AB1015	AB1016	AB1017	AB1018	AB1019	AB1020	AB1021	AB1022	AB1023	AB1024	AB1025	AB1026	AB2014	AB2015	AB2016	AB2017	AB2018	AB2019	AB2020	AB2021	AB2022	AB2023	AB2024	AB2025	AB2026
Rikenellaceae_uncl(RC9_gut)	289.0	385.0	274.0	201.0	377.0	211.0	422.0	683.0	370.0	984.0	332.0	388.0	383.0	491.0	493.0	316.0	1402.0	487.0	290.0	453.0	798.0	948.0	727.0	0.0	0.0	363.0	551.0	357.0	109.0	156.0	231.0	184.0	415.0	138.0	282.0	131.0	117.0	246.0	206.0	346.0
Bacteroidales_uncl	27.0	7.0	30.0	10.0	27.0	15.0	49.0	42.0	28.0	18.0	44.0	17.0	14.0	27.0	14.0	24.0	49.0	53.0	14.0	66.0	51.0	57.0	51.0	0.0	0.0	24.0	18.0	7.0	13.0	13.0	36.0	2.0	24.0	3.0	36.0	0.0	17.0	4.0	25.0	15.0
Fibrobacter	327.0	26.0	219.0	64.0	585.0	53.0	246.0	280.0	658.0	1403.0	408.0	1099.0	201.0	493.0	138.0	370.0	1098.0	276.0	614.0	734.0	929.0	2381.0	1016.0	0.0	0.0	2643.0	250.0	7.0	88.0	37.0	166.0	17.0	607.0	49.0	205.0	69.0	159.0	27.0	434.0	50.0
Catenisphaera	871.0	809.0	301.0	422.0	270.0	1519.0	1339.0	273.0	102.0	163.0	141.0	16.0	70.0	57.0	168.0	88.0	23.0	161.0	65.0	77.0	169.0	568.0	164.0	0.0	0.0	37.0	294.0	1965.0	907.0	1459.0	1013.0	2662.0	642.0	1589.0	820.0	554.0	1517.0	2291.0	289.0	2021.0
Erysipelotrichaceae_uncl	0.0	0.0	0.0	4.0	4.0	5.0	9.0	4.0	5.0	0.0	5.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Izemoplasmatales	112.0	3.0	68.0	23.0	114.0	10.0	46.0	69.0	120.0	272.0	58.0	3.0	141.0	411.0	50.0	5.0	0.0	9.0	16.0	301.0	611.0	132.0	720.0	0.0	0.0	8.0	42.0	0.0	13.0	12.0	26.0	3.0	172.0	8.0	38.0	18.0	25.0	11.0	68.0	23.0
Lactobacillus	4110.0	2526.0	2757.0	8309.0	10289.0	4324.0	4346.0	5104.0	11567.0	9219.0	7354.0	1619.0	6519.0	10864.0	4827.0	4164.0	8227.0	3416.0	2725.0	5749.0	6369.0	4947.0	8760.0	0.0	0.0	1127.0	3648.0	1159.0	3848.0	2542.0	1647.0	1576.0	6913.0	3041.0	4898.0	3872.0	2944.0	2259.0	7031.0	4379.0
Limosilactobacillus	3973.0	3863.0	3577.0	10300.0	11485.0	6119.0	7385.0	3713.0	4944.0	5774.0	8366.0	2782.0	8231.0	5789.0	5538.0	7890.0	3197.0	4967.0	4014.0	4018.0	3723.0	5866.0	4635.0	0.0	0.0	1482.0	5100.0	3182.0	5386.0	3990.0	3256.0	3661.0	4681.0	2633.0	3555.0	2862.0	3449.0	2632.0	5626.0	3499.0
Streptococcus	724.0	956.0	1340.0	1069.0	2287.0	702.0	896.0	101.0	1759.0	1142.0	1112.0	64.0	1152.0	866.0	452.0	416.0	43.0	1263.0	132.0	779.0	539.0	1023.0	842.0	0.0	0.0	198.0	1057.0	577.0	1525.0	701.0	886.0	552.0	1154.0	272.0	721.0	645.0	948.0	808.0	1065.0	810.0
Christensenellaceae_uncl(R-7)	74.0	88.0	113.0	62.0	29.0	72.0	106.0	310.0	94.0	200.0	70.0	97.0	36.0	101.0	88.0	63.0	185.0	65.0	74.0	122.0	157.0	274.0	148.0	0.0	0.0	132.0	73.0	50.0	24.0	43.0	65.0	101.0	42.0	55.0	93.0	48.0	45.0	83.0	40.0	157.0
Clostridia_uncl(UCG-014)	7.0	3.0	21.0	0.0	0.0	4.0	5.0	20.0	69.0	31.0	84.0	16.0	17.0	68.0	0.0	0.0	0.0	0.0	8.0	109.0	33.0	118.0	27.0	0.0	0.0	33.0	45.0	0.0	6.0	0.0	0.0	0.0	17.0	0.0	18.0	0.0	0.0	0.0	0.0	8.0
Clostridia_uncl(vadinBB60)	16.0	0.0	2.0	3.0	15.0	4.0	6.0	0.0	13.0	25.0	0.0	15.0	8.0	27.0	0.0	5.0	34.0	0.0	6.0	27.0	38.0	40.0	39.0	0.0	0.0	30.0	0.0	0.0	5.0	2.0	5.0	0.0	16.0	0.0	10.0	0.0	0.0	0.0	5.0	2.0
Pseudoramibacter	539.0	1017.0	675.0	1627.0	98.0	1496.0	589.0	833.0	180.0	766.0	227.0	6.0	184.0	89.0	507.0	10.0	0.0	236.0	7.0	54.0	176.0	706.0	479.0	0.0	0.0	5.0	872.0	1022.0	413.0	995.0	468.0	1346.0	405.0	1175.0	612.0	1094.0	554.0	1507.0	271.0	1562.0
Acetitomaculum	86.0	161.0	109.0	164.0	97.0	917.0	306.0	653.0	433.0	480.0	455.0	288.0	90.0	221.0	408.0	181.0	148.0	255.0	413.0	41.0	124.0	528.0	232.0	0.0	0.0	133.0	134.0	322.0	97.0	287.0	95.0	327.0	30.0	237.0	135.0	112.0	122.0	184.0	24.0	361.0
Coprococcus	73.0	668.0	190.0	246.0	0.0	173.0	33.0	33.0	38.0	77.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400.0	0.0	37.0	23.0	312.0	10.0	111.0	75.0	136.0	8.0	55.0	0.0	33.0
Lachnospiraceae_uncl(NK3A20)	197.0	537.0	402.0	1242.0	197.0	288.0	188.0	452.0	487.0	678.0	365.0	493.0	203.0	265.0	235.0	315.0	350.0	371.0	290.0	491.0	407.0	1296.0	402.0	0.0	0.0	1077.0	292.0	327.0	119.0	206.0	263.0	339.0	249.0	467.0	175.0	297.0	138.0	228.0	228.0	163.0
Pseudobutyrivibrio	631.0	65.0	753.0	47.0	983.0	27.0	261.0	29.0	133.0	81.0	648.0	33.0	335.0	203.0	34.0	408.0	25.0	870.0	79.0	251.0	37.0	809.0	65.0	0.0	0.0	283.0	66.0	46.0	417.0	62.0	746.0	87.0	338.0	16.0	201.0	40.0	183.0	49.0	359.0	91.0
Shuttleworthia	139.0	450.0	157.0	143.0	88.0	28.0	196.0	72.0	256.0	168.0	404.0	645.0	374.0	326.0	93.0	361.0	373.0	312.0	1199.0	315.0	209.0	1384.0	335.0	0.0	0.0	991.0	870.0	109.0	117.0	175.0	211.0	256.0	373.0	64.0	245.0	286.0	151.0	364.0	139.0	353.0
Syntrophococcus	66.0	464.0	104.0	633.0	21.0	416.0	72.0	324.0	78.0	239.0	77.0	17.0	49.0	43.0	264.0	17.0	16.0	109.0	41.0	27.0	56.0	278.0	95.0	0.0	0.0	11.0	176.0	410.0	52.0	204.0	121.0	476.0	51.0	460.0	124.0	272.0	106.0	280.0	18.0	396.0
Monoglobus	4.0	18.0	5.0	16.0	6.0	10.0	7.0	0.0	6.0	3.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0	11.0	0.0	5.0	11.0	9.0	9.0	0.0	0.0	4.0	5.0	4.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0	6.0	5.0	11.0	0.0	9.0
uncl(NK4A214)	18.0	14.0	0.0	13.0	0.0	6.0	0.0	98.0	8.0	55.0	22.0	7.0	12.0	45.0	32.0	0.0	9.0	25.0	10.0	13.0	41.0	28.0	60.0	0.0	0.0	0.0	10.0	0.0	0.0	16.0	21.0	5.0	10.0	21.0	13.0	0.0	4.0	4.0	12.0	27.0
uncl(UCG-010)	20.0	8.0	14.0	4.0	26.0	12.0	17.0	25.0	24.0	60.0	37.0	43.0	17.0	42.0	36.0	16.0	65.0	19.0	22.0	39.0	70.0	68.0	94.0	0.0	0.0	37.0	42.0	4.0	11.0	7.0	14.0	0.0	13.0	3.0	3.0	8.0	9.0	3.0	11.0	13.0
uncl(Family_XIII_AD3011)	41.0	66.0	60.0	3.0	70.0	23.0	49.0	139.0	48.0	55.0	58.0	6.0	22.0	60.0	55.0	18.0	12.0	48.0	14.0	58.0	80.0	60.0	35.0	0.0	0.0	10.0	82.0	54.0	24.0	31.0	70.0	86.0	60.0	18.0	23.0	25.0	20.0	33.0	19.0	86.0
Eubacterium_nodatum	652.0	1113.0	457.0	1219.0	58.0	839.0	582.0	482.0	93.0	380.0	144.0	83.0	79.0	33.0	502.0	15.0	34.0	226.0	123.0	22.0	109.0	384.0	262.0	0.0	0.0	0.0	296.0	1315.0	377.0	601.0	436.0	1699.0	171.0	885.0	445.0	625.0	444.0	781.0	100.0	889.0
Succiniclasticum	64.0	93.0	123.0	30.0	27.0	43.0	53.0	127.0	76.0	62.0	64.0	43.0	16.0	37.0	48.0	29.0	50.0	81.0	21.0	59.0	27.0	254.0	71.0	0.0	0.0	141.0	60.0	37.0	16.0	25.0	30.0	39.0	50.0	55.0	58.0	42.0	48.0	52.0	28.0	131.0
Selenomonas	72.0	34.0	193.0	25.0	264.0	42.0	191.0	436.0	527.0	288.0	302.0	12.0	545.0	413.0	120.0	116.0	12.0	320.0	37.0	340.0	211.0	91.0	233.0	0.0	0.0	16.0	266.0	20.0	176.0	55.0	244.0	6.0	277.0	33.0	147.0	41.0	171.0	95.0	455.0	137.0
Dialister	395.0	756.0	535.0	587.0	568.0	726.0	680.0	749.0	433.0	775.0	574.0	5.0	444.0	482.0	526.0	37.0	4.0	715.0	28.0	313.0	431.0	565.0	431.0	0.0	0.0	17.0	590.0	694.0	477.0	391.0	349.0	408.0	281.0	519.0	405.0	512.0	320.0	609.0	290.0	625.0
Megasphaera	0.0	42.0	0.0	25.0	3.0	0.0	0.0	1890.0	1839.0	2220.0	1341.0	16.0	538.0	304.0	1046.0	9.0	0.0	976.0	105.0	417.0	319.0	469.0	442.0	0.0	0.0	17.0	1317.0	40.0	10.0	0.0	0.0	54.0	5.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0
Negativicutes_uncl	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	4.0	8.0	0.0	5.0	13.0	4.0	0.0	4.0	4.0	0.0	14.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Candidatus_Saccharimonas	15.0	0.0	11.0	5.0	14.0	6.0	8.0	35.0	0.0	0.0	0.0	0.0	0.0	12.0	5.0	0.0	0.0	2.0	0.0	5.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	5.0	4.0	6.0	7.0	0.0	11.0
Rhodospirillales_uncl	16.0	0.0	5.0	0.0	5.0	0.0	16.0	17.0	13.0	43.0	15.0	8.0	6.0	66.0	4.0	5.0	12.0	4.0	3.0	150.0	111.0	22.0	45.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	26.0	0.0	7.0	0.0	23.0	0.0
Comamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminobacter	332.0	38.0	771.0	22.0	658.0	35.0	743.0	23.0	117.0	27.0	540.0	76.0	135.0	346.0	62.0	611.0	313.0	965.0	146.0	853.0	174.0	900.0	309.0	0.0	0.0	828.0	105.0	31.0	515.0	53.0	974.0	63.0	325.0	18.0	398.0	47.0	394.0	100.0	603.0	105.0
Succinivibrio	660.0	253.0	758.0	151.0	966.0	62.0	512.0	22.0	118.0	117.0	202.0	0.0	233.0	75.0	48.0	26.0	6.0	250.0	0.0	108.0	81.0	64.0	204.0	0.0	0.0	12.0	59.0	95.0	476.0	142.0	609.0	194.0	828.0	37.0	301.0	94.0	371.0	252.0	386.0	97.0
Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphaerochaeta	14.0	5.0	8.0	4.0	0.0	0.0	0.0	12.0	0.0	31.0	18.0	23.0	8.0	49.0	0.0	9.0	43.0	0.0	0.0	32.0	23.0	63.0	34.0	0.0	0.0	26.0	11.0	0.0	0.0	0.0	7.0	0.0	16.0	0.0	14.0	6.0	0.0	4.0	7.0	0.0
Treponema	718.0	605.0	528.0	251.0	978.0	122.0	659.0	861.0	1178.0	1761.0	968.0	502.0	987.0	3097.0	524.0	753.0	458.0	1804.0	364.0	3334.0	1297.0	1871.0	1011.0	0.0	0.0	761.0	726.0	519.0	548.0	292.0	1892.0	661.0	1234.0	309.0	979.0	316.0	473.0	261.0	1177.0	322.0
uncl(WPS-2)	0.0	0.0	0.0	0.0	2.0	0.0	19.0	9.0	0.0	0.0	0.0	0.0	11.0	5.0	0.0	3.0	12.0	15.0	7.0	0.0	13.0	32.0	11.0	0.0	0.0	11.0	10.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	6.0	6.0
